YEAR,YEAR_STRATUM,GRADE,n,radial_index,radial_cvm,exch_index,lambda_lower,lambda_upper,tail_asymmetry,tau_ll,tau_ur,corner_tau_gap,suppress
2018,istep_contrast,7,2442,0.0156,0,0.0106,0.3679,0.5113,0.1434,0.3249,0.3918,0.0668,FALSE
2019,ilearn_2019,8,2688,0.0153,0,0.0115,0.2825,0.4378,0.1553,0.3055,0.3128,0.0073,FALSE
2017,istep_contrast,8,2437,0.0213,0,0.0111,0.3786,0.3785,-1e-04,0.3133,0.2286,-0.0847,FALSE
2018,istep_contrast,8,2862,0.0129,0,0.015,0.3988,0.3864,-0.0124,0.3092,0.2968,-0.0124,FALSE
2017,istep_contrast,7,2476,0.0218,1e-04,0.0125,0.4525,0.3789,-0.0736,0.356,0.2702,-0.0859,FALSE
2017,istep_contrast,6,1908,0.0194,0,0.0142,0.3068,0.443,0.1362,0.247,0.3117,0.0646,FALSE
2019,ilearn_2019,6,3589,0.017,1e-04,0.015,0.2409,0.4255,0.1846,0.2572,0.2613,0.004,FALSE
2021,primary,8,3835,0.0146,0,0.011,0.2629,0.4311,0.1683,0.243,0.3164,0.0733,FALSE
2017,istep_contrast,5,2044,0.0196,0,0.0137,0.3751,0.4644,0.0893,0.262,0.2902,0.0281,FALSE
2018,istep_contrast,6,2567,0.0148,0,0.0113,0.3359,0.46,0.1241,0.2845,0.3459,0.0613,FALSE
2019,ilearn_2019,7,2874,0.0184,0,0.0111,0.1959,0.5241,0.3282,0.2295,0.3468,0.1173,FALSE
2017,istep_contrast,4,3166,0.0152,0,0.018,0.287,0.4032,0.1162,0.2022,0.2708,0.0686,FALSE
2018,istep_contrast,5,3665,0.0134,0,0.0085,0.3998,0.3961,-0.0037,0.3421,0.3096,-0.0325,FALSE
2017,istep_contrast,3,5706,0.0179,0,0.0121,0.3432,0.3446,0.0014,0.3149,0.2366,-0.0783,FALSE
2018,istep_contrast,4,6239,0.0205,0,0.0091,0.4493,0.3613,-0.088,0.3594,0.2795,-0.0799,FALSE
2019,ilearn_2019,5,5642,0.0195,1e-04,0.0066,0.3327,0.3317,-0.001,0.3142,0.2375,-0.0767,FALSE
2021,primary,7,4988,0.0198,0,0.0112,0.2929,0.3977,0.1048,0.2946,0.2703,-0.0243,FALSE
2022,primary,8,5434,0.0145,0,0.0103,0.2554,0.3444,0.0891,0.3057,0.2913,-0.0143,FALSE
2018,istep_contrast,3,7121,0.0114,0,0.0087,0.4183,0.3804,-0.0379,0.3439,0.323,-0.0208,FALSE
2019,ilearn_2019,4,7334,0.0172,0,0.0125,0.3364,0.3433,0.0069,0.3274,0.3009,-0.0264,FALSE
2021,primary,6,5263,0.0196,0,0.0196,0.3155,0.3903,0.0748,0.3105,0.2906,-0.0199,FALSE
2022,primary,7,5733,0.012,0,0.0089,0.2783,0.3761,0.0978,0.2948,0.2911,-0.0037,FALSE
2023,primary,8,6101,0.0146,0,0.0116,0.2767,0.3996,0.1229,0.3164,0.304,-0.0123,FALSE
2024,primary,7,6807,0.0166,0,0.0113,0.2491,0.4096,0.1605,0.3238,0.3048,-0.019,FALSE
2025,primary,8,7164,0.0208,0,0.0101,0.1481,0.3469,0.1987,0.1816,0.3144,0.1328,FALSE
2022,primary,6,5725,0.0183,1e-04,0.0133,0.3128,0.3702,0.0574,0.2682,0.2635,-0.0047,FALSE
2023,primary,7,6187,0.011,0,0.0118,0.2641,0.3902,0.1261,0.2877,0.3091,0.0214,FALSE
2024,primary,8,6838,0.0203,0,0.0117,0.2157,0.4085,0.1928,0.3131,0.3125,-6e-04,FALSE
2019,ilearn_2019,3,7673,0.0141,0,0.0095,0.3297,0.3822,0.0526,0.3044,0.3309,0.0265,FALSE
2021,primary,5,6185,0.0121,0,0.0126,0.2734,0.3393,0.0659,0.2908,0.2645,-0.0262,FALSE
2021,primary,4,7468,0.0135,0,0.0111,0.2692,0.3803,0.111,0.2948,0.3147,0.0198,FALSE
2023,primary,6,6143,0.0262,1e-04,0.0116,0.2824,0.3853,0.1029,0.3153,0.2742,-0.0411,FALSE
2022,primary,5,6822,0.0201,1e-04,0.0117,0.3331,0.3694,0.0363,0.3408,0.2889,-0.0519,FALSE
2021,primary,3,7849,0.0171,0,0.014,0.2224,0.369,0.1465,0.2415,0.3246,0.0832,FALSE
2022,primary,4,8289,0.0119,0,0.009,0.2895,0.3971,0.1076,0.3025,0.3412,0.0387,FALSE
2023,primary,5,7246,0.016,0,0.0099,0.3084,0.3664,0.0579,0.3255,0.2896,-0.0359,FALSE
2024,primary,6,6921,0.0163,0,0.0079,0.2322,0.3755,0.1434,0.2976,0.3009,0.0033,FALSE
2025,primary,7,7419,0.0245,1e-04,0.0175,0.1615,0.409,0.2475,0.19,0.3089,0.1189,FALSE
2026,ilearn_2026,8,7115,0.027,1e-04,0.0119,0.2813,0.2842,0.0029,0.339,0.2475,-0.0915,FALSE
2024,primary,5,7700,0.0201,0,0.0109,0.2712,0.3883,0.1171,0.3312,0.2982,-0.033,FALSE
2022,primary,3,8045,0.0135,0,0.0097,0.2191,0.4195,0.2004,0.2546,0.3426,0.0881,FALSE
2023,primary,4,8381,0.0123,0,0.008,0.2324,0.3907,0.1583,0.3019,0.3296,0.0277,FALSE
2025,primary,6,6919,0.0198,1e-04,0.0129,0.1763,0.427,0.2508,0.2037,0.3187,0.1151,FALSE
2026,ilearn_2026,7,6850,0.0164,0,0.0082,0.2405,0.3691,0.1286,0.3077,0.2992,-0.0085,FALSE
2024,primary,4,9211,0.0154,0,0.0098,0.2305,0.3984,0.1679,0.3118,0.3762,0.0644,FALSE
2025,primary,5,8082,0.0188,0,0.0161,0.1486,0.3648,0.2162,0.1924,0.2679,0.0755,FALSE
2026,ilearn_2026,6,6660,0.0183,0,0.0119,0.2476,0.32,0.0724,0.3028,0.2612,-0.0416,FALSE
