u,v,C,C_refl,D
0.025,0.025,0.00353,0.00801,-0.00449
0.025,0.05,0.00649,0.01226,-0.00577
0.025,0.075,0.009,0.01522,-0.00622
0.025,0.1,0.01128,0.0173,-0.00602
0.025,0.125,0.01334,0.01884,-0.00551
0.025,0.15,0.01531,0.02002,-0.00471
0.025,0.175,0.01685,0.02097,-0.00412
0.025,0.2,0.01825,0.02166,-0.00341
0.025,0.225,0.0195,0.02218,-0.00268
0.025,0.25,0.02063,0.02266,-0.00203
0.025,0.275,0.02154,0.02313,-0.0016
0.025,0.3,0.02229,0.02347,-0.00118
0.025,0.325,0.02286,0.0237,-0.00084
0.025,0.35,0.02333,0.02391,-0.00058
0.025,0.375,0.02375,0.02409,-0.00034
0.025,0.4,0.02409,0.02422,-0.00013
0.025,0.425,0.0243,0.02434,-4e-05
0.025,0.45,0.02449,0.02445,3e-05
0.025,0.475,0.02461,0.02454,7e-05
0.025,0.5,0.02471,0.02464,7e-05
0.025,0.525,0.0248,0.02474,6e-05
0.025,0.55,0.02485,0.02478,7e-05
0.025,0.575,0.02489,0.02482,7e-05
0.025,0.6,0.02492,0.02486,6e-05
0.025,0.625,0.02494,0.0249,4e-05
0.025,0.65,0.02495,0.02493,2e-05
0.025,0.675,0.02495,0.02494,2e-05
0.025,0.7,0.02496,0.02495,1e-05
0.025,0.725,0.02497,0.02496,1e-05
0.025,0.75,0.02498,0.02496,2e-05
0.025,0.775,0.02498,0.02497,0
0.025,0.8,0.02499,0.02498,1e-05
0.025,0.825,0.02499,0.02499,0
0.025,0.85,0.02499,0.02499,0
0.025,0.875,0.025,0.025,0
0.025,0.9,0.025,0.025,0
0.025,0.925,0.025,0.025,0
0.025,0.95,0.025,0.025,0
0.025,0.975,0.025,0.025,0
0.05,0.025,0.00648,0.01201,-0.00553
0.05,0.05,0.01218,0.01974,-0.00756
0.05,0.075,0.01709,0.0254,-0.00832
0.05,0.1,0.02168,0.0299,-0.00823
0.05,0.125,0.02571,0.03332,-0.00761
0.05,0.15,0.02952,0.03629,-0.00677
0.05,0.175,0.03275,0.03861,-0.00586
0.05,0.2,0.0356,0.04053,-0.00493
0.05,0.225,0.03822,0.04204,-0.00382
0.05,0.25,0.04052,0.04335,-0.00282
0.05,0.275,0.04239,0.04451,-0.00213
0.05,0.3,0.04398,0.04548,-0.0015
0.05,0.325,0.04523,0.04618,-0.00095
0.05,0.35,0.04631,0.04678,-0.00046
0.05,0.375,0.04734,0.04732,1e-05
0.05,0.4,0.04801,0.04777,0.00023
0.05,0.425,0.04849,0.04815,0.00035
0.05,0.45,0.04889,0.04848,0.00041
0.05,0.475,0.04917,0.04867,5e-04
0.05,0.5,0.04938,0.04891,0.00047
0.05,0.525,0.04954,0.04912,0.00042
0.05,0.55,0.04965,0.04924,0.00041
0.05,0.575,0.04973,0.04938,0.00035
0.05,0.6,0.04979,0.04948,3e-04
0.05,0.625,0.04984,0.04959,0.00025
0.05,0.65,0.04989,0.04968,0.00022
0.05,0.675,0.04991,0.04974,0.00017
0.05,0.7,0.04991,0.0498,0.00012
0.05,0.725,0.04994,0.04983,0.00011
0.05,0.75,0.04996,0.04985,0.00011
0.05,0.775,0.04996,0.04991,6e-05
0.05,0.8,0.04997,0.04992,5e-05
0.05,0.825,0.04998,0.04996,2e-05
0.05,0.85,0.04999,0.04997,2e-05
0.05,0.875,0.04999,0.04998,1e-05
0.05,0.9,0.05,0.04998,1e-05
0.05,0.925,0.05,0.04999,1e-05
0.05,0.95,0.05,0.04999,0
0.05,0.975,0.05,0.05,0
0.075,0.025,0.00948,0.01482,-0.00533
0.075,0.05,0.01772,0.02515,-0.00743
0.075,0.075,0.0249,0.0333,-0.0084
0.075,0.1,0.03175,0.04003,-0.00828
0.075,0.125,0.03782,0.04551,-0.00769
0.075,0.15,0.04334,0.05011,-0.00678
0.075,0.175,0.04816,0.054,-0.00584
0.075,0.2,0.05229,0.05727,-0.00499
0.075,0.225,0.05618,0.05985,-0.00367
0.075,0.25,0.05962,0.0621,-0.00248
0.075,0.275,0.06257,0.06424,-0.00167
0.075,0.3,0.06499,0.06598,-0.001
0.075,0.325,0.06713,0.0673,-0.00016
0.075,0.35,0.0688,0.06857,0.00023
0.075,0.375,0.07034,0.0696,0.00074
0.075,0.4,0.07151,0.07049,0.00101
0.075,0.425,0.07237,0.07122,0.00114
0.075,0.45,0.07309,0.07184,0.00125
0.075,0.475,0.07357,0.07226,0.0013
0.075,0.5,0.0739,0.07273,0.00118
0.075,0.525,0.07415,0.07309,0.00106
0.075,0.55,0.07436,0.07335,0.00101
0.075,0.575,0.07452,0.07361,0.00091
0.075,0.6,0.07464,0.07385,8e-04
0.075,0.625,0.07475,0.07402,0.00073
0.075,0.65,0.07483,0.07419,0.00064
0.075,0.675,0.07485,0.07431,0.00055
0.075,0.7,0.07488,0.07441,0.00046
0.075,0.725,0.07491,0.07451,4e-04
0.075,0.75,0.07493,0.07459,0.00034
0.075,0.775,0.07495,0.07468,0.00027
0.075,0.8,0.07497,0.07472,0.00025
0.075,0.825,0.07498,0.0748,0.00018
0.075,0.85,0.07498,0.07482,0.00016
0.075,0.875,0.07499,0.07484,0.00015
0.075,0.9,0.07499,0.07486,0.00013
0.075,0.925,0.07499,0.07489,1e-04
0.075,0.95,0.07499,0.0749,9e-05
0.075,0.975,0.075,0.0749,9e-05
0.1,0.025,0.01196,0.01677,-0.00481
0.1,0.05,0.02247,0.02936,-0.00689
0.1,0.075,0.03173,0.03975,-0.00803
0.1,0.1,0.04063,0.04862,-0.00798
0.1,0.125,0.04857,0.05594,-0.00737
0.1,0.15,0.05588,0.06223,-0.00635
0.1,0.175,0.06232,0.06774,-0.00542
0.1,0.2,0.06801,0.07239,-0.00438
0.1,0.225,0.07322,0.0763,-0.00309
0.1,0.25,0.07785,0.07958,-0.00173
0.1,0.275,0.08183,0.08277,-0.00094
0.1,0.3,0.08527,0.08538,-0.00011
0.1,0.325,0.0883,0.08741,0.00089
0.1,0.35,0.09068,0.08946,0.00122
0.1,0.375,0.0929,0.09106,0.00183
0.1,0.4,0.09455,0.09249,0.00207
0.1,0.425,0.09587,0.09373,0.00214
0.1,0.45,0.09688,0.09474,0.00214
0.1,0.475,0.09762,0.09553,0.00209
0.1,0.5,0.09819,0.09629,0.0019
0.1,0.525,0.09864,0.09688,0.00177
0.1,0.55,0.09901,0.0974,0.00161
0.1,0.575,0.09926,0.09785,0.00141
0.1,0.6,0.09946,0.09823,0.00123
0.1,0.625,0.09958,0.09858,0.00101
0.1,0.65,0.09971,0.09888,0.00083
0.1,0.675,0.09976,0.09911,0.00065
0.1,0.7,0.0998,0.09929,0.00052
0.1,0.725,0.09985,0.09946,0.00039
0.1,0.75,0.09989,0.09959,3e-04
0.1,0.775,0.09991,0.09974,0.00017
0.1,0.8,0.09993,0.09981,0.00012
0.1,0.825,0.09994,0.09992,2e-05
0.1,0.85,0.09995,0.09998,-3e-05
0.1,0.875,0.09995,0.10001,-6e-05
0.1,0.9,0.09996,0.10004,-8e-05
0.1,0.925,0.09996,0.10008,-0.00012
0.1,0.95,0.09996,0.10009,-0.00013
0.1,0.975,0.09997,0.10013,-0.00015
0.125,0.025,0.01394,0.01834,-0.0044
0.125,0.05,0.02642,0.03295,-0.00653
0.125,0.075,0.03767,0.04534,-0.00767
0.125,0.1,0.04836,0.05601,-0.00766
0.125,0.125,0.05828,0.06492,-0.00664
0.125,0.15,0.06729,0.07281,-0.00552
0.125,0.175,0.07531,0.07989,-0.00458
0.125,0.2,0.08263,0.08585,-0.00322
0.125,0.225,0.08926,0.09114,-0.00188
0.125,0.25,0.09531,0.09568,-0.00037
0.125,0.275,0.10042,0.09992,0.00049
0.125,0.3,0.10485,0.10345,0.0014
0.125,0.325,0.1089,0.10634,0.00256
0.125,0.35,0.11209,0.10909,0.003
0.125,0.375,0.115,0.11136,0.00363
0.125,0.4,0.11714,0.11338,0.00376
0.125,0.425,0.11884,0.11521,0.00362
0.125,0.45,0.12023,0.11669,0.00354
0.125,0.475,0.12131,0.11788,0.00343
0.125,0.5,0.12217,0.11898,0.00319
0.125,0.525,0.12285,0.11996,0.00289
0.125,0.55,0.12341,0.12076,0.00265
0.125,0.575,0.12386,0.12149,0.00236
0.125,0.6,0.12412,0.12202,0.0021
0.125,0.625,0.12433,0.12257,0.00177
0.125,0.65,0.12454,0.12302,0.00153
0.125,0.675,0.12464,0.12333,0.0013
0.125,0.7,0.12471,0.1236,0.00111
0.125,0.725,0.12478,0.12385,0.00093
0.125,0.75,0.12484,0.12403,0.00081
0.125,0.775,0.12488,0.12426,0.00062
0.125,0.8,0.12491,0.12438,0.00053
0.125,0.825,0.12496,0.12452,0.00044
0.125,0.85,0.12497,0.12462,0.00036
0.125,0.875,0.12498,0.12467,0.00031
0.125,0.9,0.125,0.12473,0.00027
0.125,0.925,0.12501,0.12479,0.00023
0.125,0.95,0.12503,0.12481,0.00022
0.125,0.975,0.12504,0.12485,0.00019
0.15,0.025,0.01569,0.01956,-0.00388
0.15,0.05,0.02999,0.03572,-0.00573
0.15,0.075,0.04306,0.04983,-0.00677
0.15,0.1,0.05543,0.06218,-0.00675
0.15,0.125,0.067,0.07289,-0.00589
0.15,0.15,0.07764,0.08242,-0.00478
0.15,0.175,0.08716,0.09106,-0.0039
0.15,0.2,0.09592,0.09847,-0.00256
0.15,0.225,0.10394,0.10507,-0.00113
0.15,0.25,0.11132,0.1109,0.00042
0.15,0.275,0.1176,0.11638,0.00121
0.15,0.3,0.12313,0.12102,0.00211
0.15,0.325,0.12824,0.12488,0.00336
0.15,0.35,0.13234,0.12842,0.00392
0.15,0.375,0.1361,0.13143,0.00467
0.15,0.4,0.13888,0.13419,0.00468
0.15,0.425,0.14118,0.13673,0.00446
0.15,0.45,0.14305,0.13866,0.0044
0.15,0.475,0.1445,0.14028,0.00422
0.15,0.5,0.14568,0.14182,0.00386
0.15,0.525,0.14665,0.14315,0.0035
0.15,0.55,0.14746,0.14426,0.0032
0.15,0.575,0.1481,0.14526,0.00284
0.15,0.6,0.14856,0.14604,0.00252
0.15,0.625,0.14888,0.14678,0.0021
0.15,0.65,0.14918,0.1474,0.00178
0.15,0.675,0.14937,0.14783,0.00154
0.15,0.7,0.14949,0.14823,0.00126
0.15,0.725,0.1496,0.14862,0.00098
0.15,0.75,0.14969,0.14886,0.00083
0.15,0.775,0.14974,0.1492,0.00054
0.15,0.8,0.1498,0.14937,0.00042
