t,lambda,tail
0.02,0.1173,lower (noise corner)
0.04,0.2023,lower (noise corner)
0.06,0.2791,lower (noise corner)
0.08,0.3454,lower (noise corner)
0.1,0.4063,lower (noise corner)
0.12,0.4552,lower (noise corner)
0.14,0.498,lower (noise corner)
0.16,0.534,lower (noise corner)
0.18,0.5657,lower (noise corner)
0.2,0.5944,lower (noise corner)
0.22,0.6199,lower (noise corner)
0.24,0.6416,lower (noise corner)
0.26,0.661,lower (noise corner)
0.28,0.6779,lower (noise corner)
0.3,0.6923,lower (noise corner)
0.32,0.7068,lower (noise corner)
0.34,0.7191,lower (noise corner)
0.36,0.7309,lower (noise corner)
0.38,0.7413,lower (noise corner)
0.4,0.7511,lower (noise corner)
0.42,0.7611,lower (noise corner)
0.44,0.7697,lower (noise corner)
0.46,0.7768,lower (noise corner)
0.48,0.7856,lower (noise corner)
0.5,0.7937,lower (noise corner)
0.02,0.2971,upper (signal corner)
0.04,0.3676,upper (signal corner)
0.06,0.4196,upper (signal corner)
0.08,0.4529,upper (signal corner)
0.1,0.4862,upper (signal corner)
0.12,0.5149,upper (signal corner)
0.14,0.5376,upper (signal corner)
0.16,0.5601,upper (signal corner)
0.18,0.5807,upper (signal corner)
0.2,0.5988,upper (signal corner)
0.22,0.6171,upper (signal corner)
0.24,0.6341,upper (signal corner)
0.26,0.6505,upper (signal corner)
0.28,0.6666,upper (signal corner)
0.3,0.6807,upper (signal corner)
0.32,0.6931,upper (signal corner)
0.34,0.7061,upper (signal corner)
0.36,0.7187,upper (signal corner)
0.38,0.7316,upper (signal corner)
0.4,0.7435,upper (signal corner)
0.42,0.7548,upper (signal corner)
0.44,0.764,upper (signal corner)
0.46,0.7749,upper (signal corner)
0.48,0.7844,upper (signal corner)
0.5,0.7937,upper (signal corner)
