CONTENT_AREA,YEAR,n,min,q25,median,q75,max
ELA,2016,496225,5090,5463,5524,5583.2,5919.6
ELA,2017,498328,5086.2,5460.6,5522.6,5582.1,5920
ELA,2018,502987,5086.2,5458.3,5519.9,5580.3,5920
ELA,2019,507013,5060,5459,5521,5581,5920
ELA,2021,485816,5060,5441,5506,5570,5920
ELA,2022,492525,5060,5441,5507,5572,5920
ELA,2023,491961,5060,5439,5506,5571,5920
ELA,2024,493624,5060,5438,5505,5571,5920
ELA,2025,496871,5060,5434,5502,5571,5920
ELA,2026,494644,5212.7,5433.1,5502.7,5571.1,5787.9
MATHEMATICS,2016,496802,6110,6441.7,6503.8,6569.2,6950
MATHEMATICS,2017,499802,6110,6438.9,6503.8,6570,6950
MATHEMATICS,2018,504236,6110,6438,6503.8,6569.8,6950
MATHEMATICS,2019,506971,6100,6439,6504,6570,6950
MATHEMATICS,2021,485422,6080,6414,6482,6548,6950
MATHEMATICS,2022,492271,6080,6417,6486,6554,6950
MATHEMATICS,2023,491741,6080,6417,6488,6558,6950
MATHEMATICS,2024,493272,6080,6416,6487,6557,6950
MATHEMATICS,2025,496588,6080,6415,6489,6562,6950
MATHEMATICS,2026,494331,6112.6,6415.3,6489.1,6562.6,6862.3
