YEAR,GRADE,family,n,loglik,aic,bic,tau,rho,df,lambda_lower,lambda_upper,converged,best_aic
2018,7,t,2442,1123.1526,-2242.3053,-2230.7041,0.5667,,31.195,0.0529,0.0529,TRUE,FALSE
2018,7,frank,2442,1075.1451,-2148.2901,-2142.4895,0.574,0.7751,,0,0,TRUE,FALSE
2018,7,gaussian,2442,1122.4565,-2242.913,-2237.1124,0.566,0.7615,,0,0,TRUE,TRUE
2019,8,t,2688,1064.4424,-2124.8847,-2113.0916,0.5314,,88.7324,4e-04,4e-04,TRUE,FALSE
2019,8,frank,2688,1033.2028,-2064.4055,-2058.5089,0.5416,0.7411,,0,0,TRUE,FALSE
2019,8,gaussian,2688,1064.4601,-2126.9202,-2121.0237,0.5311,0.7247,,0,0,TRUE,TRUE
2017,8,t,2437,778.6559,-1553.3119,-1541.7148,0.4828,,11.1758,0.1589,0.1589,TRUE,TRUE
2017,8,frank,2437,731.5426,-1461.0851,-1455.2866,0.4882,0.6811,,0,0,TRUE,FALSE
2017,8,gaussian,2437,759.9544,-1517.9088,-1512.1103,0.4784,0.6653,,0,0,TRUE,FALSE
2018,8,t,2862,1135.4632,-2266.9263,-2255.0078,0.5316,,84.0267,6e-04,6e-04,TRUE,FALSE
2018,8,frank,2862,1059.1372,-2116.2744,-2110.3151,0.532,0.7307,,0,0,TRUE,FALSE
2018,8,gaussian,2862,1135.4345,-2268.8691,-2262.9098,0.5315,0.7251,,0,0,TRUE,TRUE
2017,7,t,2476,883.6599,-1763.3199,-1751.6911,0.5071,,22.1355,0.062,0.062,TRUE,TRUE
2017,7,frank,2476,801.2939,-1600.5877,-1594.7733,0.5035,0.6988,,0,0,TRUE,FALSE
2017,7,gaussian,2476,880.3181,-1758.6363,-1752.8219,0.5069,0.698,,0,0,TRUE,FALSE
2017,6,t,1908,613.4252,-1222.8503,-1211.7427,0.4844,,15.06,0.1051,0.1051,TRUE,TRUE
2017,6,frank,1908,567.453,-1132.906,-1127.3522,0.4863,0.6787,,0,0,TRUE,FALSE
2017,6,gaussian,1908,608.4303,-1214.8606,-1209.3068,0.4834,0.6712,,0,0,TRUE,FALSE
2019,6,t,3589,1050.2281,-2096.4563,-2084.085,0.4649,,23.8959,0.035,0.035,TRUE,TRUE
2019,6,frank,3589,999.006,-1996.012,-1989.8264,0.4719,0.6618,,0,0,TRUE,FALSE
2019,6,gaussian,3589,1045.525,-2089.0501,-2082.8644,0.4636,0.648,,0,0,TRUE,FALSE
2021,8,t,3835,1348.895,-2693.79,-2681.2862,0.5048,,49.5278,0.0053,0.0053,TRUE,FALSE
2021,8,frank,3835,1331.8021,-2661.6043,-2655.3524,0.5189,0.7162,,0,0,TRUE,FALSE
2021,8,gaussian,3835,1348.5388,-2695.0776,-2688.8257,0.5041,0.6948,,0,0,TRUE,TRUE
2017,5,t,2044,671.8501,-1339.7001,-1328.4548,0.4895,,31.5272,0.0214,0.0214,TRUE,TRUE
2017,5,frank,2044,608.3052,-1214.6105,-1208.9878,0.4846,0.6768,,0,0,TRUE,FALSE
2017,5,gaussian,2044,670.5717,-1339.1433,-1333.5206,0.4895,0.6781,,0,0,TRUE,FALSE
2018,6,t,2567,1027.611,-2051.222,-2039.521,0.5337,,33.881,0.0298,0.0298,TRUE,TRUE
2018,6,frank,2567,960.1238,-1918.2476,-1912.3972,0.535,0.7339,,0,0,TRUE,FALSE
2018,6,gaussian,2567,1025.7362,-2049.4723,-2043.6218,0.5332,0.727,,0,0,TRUE,FALSE
2019,7,t,2874,1072.9524,-2141.9048,-2129.9779,0.5185,,42.9711,0.0116,0.0116,TRUE,TRUE
2019,7,frank,2874,1058.3623,-2114.7245,-2108.7611,0.5318,0.7304,,0,0,TRUE,FALSE
2019,7,gaussian,2874,1071.7408,-2141.4816,-2135.5181,0.5174,0.7097,,0,0,TRUE,FALSE
2017,4,t,3166,906.1934,-1808.3867,-1796.2663,0.4603,,38.4519,0.0072,0.0072,TRUE,TRUE
2017,4,frank,3166,845.0641,-1688.1281,-1682.0679,0.4617,0.6496,,0,0,TRUE,FALSE
2017,4,gaussian,3166,904.9775,-1807.955,-1801.8948,0.4598,0.6434,,0,0,TRUE,FALSE
2018,5,t,3665,1450.6897,-2897.3795,-2884.9663,0.5311,,27.6463,0.0481,0.0481,TRUE,TRUE
2018,5,frank,3665,1366.9673,-2731.9346,-2725.7281,0.5349,0.7338,,0,0,TRUE,FALSE
2018,5,gaussian,3665,1446.7494,-2891.4989,-2885.2923,0.5301,0.7236,,0,0,TRUE,FALSE
2017,3,t,5706,1808.9459,-3613.8918,-3600.5932,0.4815,,95.1057,1e-04,1e-04,TRUE,FALSE
2017,3,frank,5706,1731.8523,-3461.7046,-3455.0553,0.4889,0.6818,,0,0,TRUE,FALSE
