YEAR,YEAR_STRATUM,GRADE,n,kendall,spearman,pearson,suppress
2017,istep_contrast,3,5706,0.4958,0.6813,0.6813,FALSE
2017,istep_contrast,4,3166,0.4691,0.6495,0.6495,FALSE
2017,istep_contrast,5,2044,0.4923,0.6746,0.6746,FALSE
2017,istep_contrast,6,1908,0.4911,0.6728,0.6728,FALSE
2017,istep_contrast,7,2476,0.5092,0.6928,0.6928,FALSE
2017,istep_contrast,8,2437,0.4926,0.6755,0.6755,FALSE
2018,istep_contrast,3,7121,0.5626,0.7542,0.7542,FALSE
2018,istep_contrast,4,6239,0.5456,0.7352,0.7352,FALSE
2018,istep_contrast,5,3665,0.5422,0.7311,0.7311,FALSE
2018,istep_contrast,6,2567,0.543,0.7334,0.7334,FALSE
2018,istep_contrast,7,2442,0.5813,0.7729,0.7729,FALSE
2018,istep_contrast,8,2862,0.5402,0.7319,0.7319,FALSE
2019,ilearn_2019,3,7673,0.5548,0.7484,0.7484,FALSE
2019,ilearn_2019,4,7334,0.5504,0.7443,0.7443,FALSE
2019,ilearn_2019,5,5642,0.5056,0.6938,0.6938,FALSE
2019,ilearn_2019,6,3589,0.4763,0.6577,0.6577,FALSE
2019,ilearn_2019,7,2874,0.5386,0.7321,0.7321,FALSE
2019,ilearn_2019,8,2688,0.548,0.7408,0.7408,FALSE
2021,primary,3,7849,0.5419,0.7375,0.7375,FALSE
2021,primary,4,7468,0.5542,0.75,0.75,FALSE
2021,primary,5,6185,0.5178,0.7094,0.7094,FALSE
2021,primary,6,5263,0.5064,0.6918,0.6918,FALSE
2021,primary,7,4988,0.5179,0.7085,0.7085,FALSE
2021,primary,8,3835,0.5247,0.717,0.717,FALSE
2022,primary,3,8045,0.5718,0.7706,0.7706,FALSE
2022,primary,4,8289,0.5715,0.7674,0.7674,FALSE
2022,primary,5,6822,0.5568,0.751,0.751,FALSE
2022,primary,6,5725,0.505,0.6936,0.6936,FALSE
2022,primary,7,5733,0.5246,0.7147,0.7147,FALSE
2022,primary,8,5434,0.5311,0.7227,0.7227,FALSE
2023,primary,3,8714,0.6049,0.8057,0.8057,FALSE
2023,primary,4,8381,0.5841,0.7837,0.7837,FALSE
2023,primary,5,7246,0.556,0.7515,0.7515,FALSE
2023,primary,6,6143,0.5297,0.7206,0.7206,FALSE
2023,primary,7,6187,0.5342,0.7267,0.7267,FALSE
2023,primary,8,6101,0.5542,0.7489,0.7489,FALSE
2024,primary,3,9074,0.6141,0.8128,0.8128,FALSE
2024,primary,4,9211,0.6114,0.8105,0.8105,FALSE
2024,primary,5,7700,0.5881,0.7879,0.7879,FALSE
2024,primary,6,6921,0.5585,0.7556,0.7556,FALSE
2024,primary,7,6807,0.5724,0.7699,0.7699,FALSE
2024,primary,8,6838,0.5661,0.7625,0.7625,FALSE
2025,primary,3,9821,0.5921,0.7937,0.7937,FALSE
2025,primary,4,9187,0.5548,0.7557,0.7557,FALSE
2025,primary,5,8082,0.5313,0.7305,0.7305,FALSE
2025,primary,6,6919,0.5205,0.7137,0.7137,FALSE
2025,primary,7,7419,0.5225,0.7186,0.7186,FALSE
2025,primary,8,7164,0.5286,0.7266,0.7266,FALSE
2026,ilearn_2026,3,10088,0.6054,0.8025,0.8025,FALSE
2026,ilearn_2026,4,8515,0.5676,0.7635,0.7635,FALSE
2026,ilearn_2026,5,7421,0.5593,0.7565,0.7565,FALSE
2026,ilearn_2026,6,6660,0.5518,0.7493,0.7493,FALSE
2026,ilearn_2026,7,6850,0.5616,0.7586,0.7586,FALSE
2026,ilearn_2026,8,7115,0.5356,0.7296,0.7296,FALSE
