YEAR,GRADE,4.3,5
2017,3,0.3627,0.0808
2017,4,0.5674,0.2895
2017,5,0.6086,0.4501
2017,6,0.4384,0.2184
2017,7,0.4931,0.1945
2017,8,0.5433,0.2749
2018,3,0.487,0.1468
2018,4,0.5226,0.4931
2018,5,0.5611,0.5212
2018,6,0.5832,0.1941
2018,7,0.6068,0.2756
2018,8,0.5464,0.2347
2019,3,0.5215,0.1846
2019,4,0.5129,0.4817
2019,5,0.4956,0.437
2019,6,0.4544,0.1335
2019,7,0.5828,0.2975
2019,8,0.6156,0.26
2021,3,0.5061,0.1348
2021,4,0.5936,0.493
2021,5,0.5528,0.4998
2021,6,0.4087,0.1254
2021,7,0.5138,0.2392
2021,8,0.6014,0.3401
2022,3,0.4665,0.15
2022,4,0.6006,0.5428
2022,5,0.5507,0.5134
2022,6,0.4399,0.0966
2022,7,0.4909,0.1947
2022,8,0.545,0.198
2023,3,0.5158,0.1962
2023,4,0.6028,0.5219
2023,5,0.5775,0.5007
2023,6,0.4021,0.0683
2023,7,0.4874,0.1589
2023,8,0.5014,0.1477
2024,3,0.5364,0.2252
2024,4,0.6331,0.5385
2024,5,0.5806,0.5073
2024,6,0.4135,0.0994
2024,7,0.4977,0.1915
2024,8,0.531,0.2127
2025,3,0.5292,0.2114
2025,4,0.599,0.5281
2025,5,0.5698,0.4848
2025,6,0.4607,0.1302
2025,7,0.5796,0.2542
2025,8,0.5628,0.233
2026,3,,
2026,4,,
2026,5,,
2026,6,,
2026,7,,
2026,8,,
