YEAR,YEAR_STRATUM,GRADE,outcome,best_cut,youden,sens,spec,n
2018,istep_contrast,7,proficient,4.2,0.7137,0.8528,0.8609,2442
2018,istep_contrast,7,pctile_ge25,3.1,0.6036,0.8164,0.7871,2442
2018,istep_contrast,7,pctile_ge50,3.4,0.5857,0.8103,0.7753,2442
2019,ilearn_2019,8,proficient,4.2,0.6604,0.8451,0.8154,2688
2019,ilearn_2019,8,pctile_ge25,3.3,0.581,0.7519,0.8291,2688
2019,ilearn_2019,8,pctile_ge50,3.4,0.5843,0.8441,0.7402,2688
2017,istep_contrast,8,proficient,4.3,0.5433,0.6765,0.8668,2437
2017,istep_contrast,8,pctile_ge25,3.6,0.5407,0.6958,0.8449,2437
2017,istep_contrast,8,pctile_ge50,3.7,0.505,0.767,0.7381,2437
2018,istep_contrast,8,proficient,4.2,0.633,0.8351,0.798,2862
2018,istep_contrast,8,pctile_ge25,3.4,0.559,0.7409,0.8181,2862
2018,istep_contrast,8,pctile_ge50,3.6,0.5422,0.8306,0.7117,2862
2017,istep_contrast,7,proficient,3.9,0.606,0.8819,0.7241,2476
2017,istep_contrast,7,pctile_ge25,3.3,0.5661,0.8088,0.7573,2476
2017,istep_contrast,7,pctile_ge50,3.6,0.4857,0.7903,0.6954,2476
2017,istep_contrast,6,proficient,3.9,0.6723,0.8444,0.8278,1908
2017,istep_contrast,6,pctile_ge25,3.2,0.4981,0.7616,0.7365,1908
2017,istep_contrast,6,pctile_ge50,3.6,0.4957,0.6842,0.8115,1908
2019,ilearn_2019,6,proficient,4.1,0.5894,0.7664,0.823,3589
2019,ilearn_2019,6,pctile_ge25,3.3,0.5007,0.7826,0.7181,3589
2019,ilearn_2019,6,pctile_ge50,3.6,0.4826,0.7715,0.7111,3589
2021,primary,8,proficient,4.1,0.6739,0.8667,0.8072,3835
2021,primary,8,pctile_ge25,3.2,0.5443,0.7684,0.7759,3835
2021,primary,8,pctile_ge50,3.4,0.5509,0.7822,0.7687,3835
2017,istep_contrast,5,proficient,4.2,0.6469,0.9355,0.7114,2044
2017,istep_contrast,5,pctile_ge25,3.8,0.4806,0.6884,0.7922,2044
2017,istep_contrast,5,pctile_ge50,3.8,0.4926,0.8172,0.6754,2044
2018,istep_contrast,6,proficient,4.1,0.6995,0.8543,0.8452,2567
2018,istep_contrast,6,pctile_ge25,3.3,0.5618,0.7611,0.8006,2567
2018,istep_contrast,6,pctile_ge50,3.6,0.5403,0.7477,0.7927,2567
2019,ilearn_2019,7,proficient,4.2,0.6217,0.7724,0.8493,2874
2019,ilearn_2019,7,pctile_ge25,3.3,0.556,0.749,0.807,2874
2019,ilearn_2019,7,pctile_ge50,3.4,0.5382,0.8214,0.7169,2874
2017,istep_contrast,4,proficient,4.5,0.5763,0.7257,0.8506,3166
2017,istep_contrast,4,pctile_ge25,3.8,0.4721,0.7396,0.7325,3166
2017,istep_contrast,4,pctile_ge50,3.9,0.4749,0.7006,0.7743,3166
2018,istep_contrast,5,proficient,4.7,0.6131,0.8097,0.8034,3665
2018,istep_contrast,5,pctile_ge25,3.8,0.5783,0.8145,0.7637,3665
2018,istep_contrast,5,pctile_ge50,4.2,0.5407,0.7361,0.8046,3665
2017,istep_contrast,3,proficient,3.8,0.4929,0.8458,0.6471,5706
2017,istep_contrast,3,pctile_ge25,3.4,0.5433,0.7485,0.7948,5706
2017,istep_contrast,3,pctile_ge50,3.6,0.4962,0.8059,0.6903,5706
2018,istep_contrast,4,proficient,4.7,0.5624,0.7851,0.7772,6239
2018,istep_contrast,4,pctile_ge25,3.9,0.6036,0.8186,0.785,6239
