YEAR_T1,GRADE_T1,YEAR_T,GRADE,window,role,WIDA_EXIT_BAND,n,ilearn_pctile_t,ilearn_pctile_t1,ilearn_pctile_delta,p_proficient_t,p_proficient_t1,n_never_el,never_el_median_score,never_el_median_pctile,never_el_median_sgp,n_never_el_t1,never_el_median_score_t1,never_el_median_pctile_t1,never_el_median_sgp_t1,gap_pctile_t,gap_pctile_t1,suppress
2022,4,2021,3,primary,exiter,<4.3,38,,,,,,70376,5442,52.83,,71980,5479,52.833,50,,,TRUE
2022,4,2021,3,primary,exiter,4.3-4.9,11,,,,,,70376,5442,52.83,,71980,5479,52.833,50,,,TRUE
2022,4,2021,3,primary,exiter,>=5.0,231,77.444,79.245,0.946,0.792,0.835,70376,5442,52.83,,71980,5479,52.833,50,24.614,26.412,FALSE
2022,4,2021,3,primary,never_el,"",67223,53.303,53.282,-0.191,0.42,0.443,70376,5442,52.83,,71980,5479,52.833,50,0.473,0.449,FALSE
2022,4,2021,3,primary,stayer,<4.3,5928,24.526,25.747,0.897,0.077,0.116,70376,5442,52.83,,71980,5479,52.833,50,-28.304,-27.086,FALSE
2022,4,2021,3,primary,stayer,4.3-4.9,1310,62.012,63.404,1.09,0.52,0.571,70376,5442,52.83,,71980,5479,52.833,50,9.182,10.571,FALSE
2022,5,2021,4,primary,exiter,<4.3,35,,,,,,70434,5476,52.872,,73518,5509,52.722,50,,,TRUE
2022,5,2021,4,primary,exiter,4.3-4.9,15,,,,,,70434,5476,52.872,,73518,5509,52.722,50,,,TRUE
2022,5,2021,4,primary,exiter,>=5.0,1240,62.533,64.358,1.003,0.539,0.611,70434,5476,52.872,,73518,5509,52.722,50,9.661,11.636,FALSE
2022,5,2021,4,primary,never_el,"",67677,53.348,53.185,-0.053,0.427,0.44,70434,5476,52.872,,73518,5509,52.722,50,0.476,0.463,FALSE
2022,5,2021,4,primary,stayer,<4.3,3854,16.391,18.654,1.953,0.021,0.048,70434,5476,52.872,,73518,5509,52.722,50,-36.481,-34.068,FALSE
2022,5,2021,4,primary,stayer,4.3-4.9,1994,42.985,44.729,1.893,0.202,0.269,70434,5476,52.872,,73518,5509,52.722,50,-9.887,-7.993,FALSE
2022,5,2021,4,primary,stayer,>=5.0,26,,,,,,70434,5476,52.872,,73518,5509,52.722,50,,,TRUE
2022,6,2021,5,primary,exiter,<4.3,27,,,,,,73121,5507,52.715,50,75602,5526,52.793,50,,,TRUE
2022,6,2021,5,primary,exiter,>=5.0,989,52.252,53.716,2.305,0.332,0.392,73121,5507,52.715,50,75602,5526,52.793,50,-0.463,0.924,FALSE
2022,6,2021,5,primary,never_el,"",69982,53.623,53.255,-0.014,0.429,0.421,73121,5507,52.715,50,75602,5526,52.793,50,0.908,0.462,FALSE
2022,6,2021,5,primary,stayer,<4.3,3142,13.438,16.33,2.133,0.01,0.021,73121,5507,52.715,50,75602,5526,52.793,50,-39.277,-36.463,FALSE
2022,6,2021,5,primary,stayer,4.3-4.9,1730,33.706,38.096,3.147,0.097,0.157,73121,5507,52.715,50,75602,5526,52.793,50,-19.009,-14.697,FALSE
2022,6,2021,5,primary,stayer,>=5.0,39,,,,,,73121,5507,52.715,50,75602,5526,52.793,50,,,TRUE
2022,7,2021,6,primary,exiter,<4.3,56,15.736,16.609,1.701,0.089,0.054,75391,5529,52.877,50,76792,5557,52.762,51,-37.141,-36.153,FALSE
2022,7,2021,6,primary,exiter,4.3-4.9,12,,,,,,75391,5529,52.877,50,76792,5557,52.762,51,,,TRUE
2022,7,2021,6,primary,exiter,>=5.0,68,68.716,66.712,-4.598,0.676,0.662,75391,5529,52.877,50,76792,5557,52.762,51,15.838,13.95,FALSE
2022,7,2021,6,primary,never_el,"",71866,53.363,53.703,-0.005,0.431,0.458,75391,5529,52.877,50,76792,5557,52.762,51,0.486,0.941,FALSE
2022,7,2021,6,primary,stayer,<4.3,4400,18.605,19.658,0.852,0.041,0.051,75391,5529,52.877,50,76792,5557,52.762,51,-34.272,-33.104,FALSE
2022,7,2021,6,primary,stayer,4.3-4.9,472,49.588,49.08,-0.355,0.292,0.352,75391,5529,52.877,50,76792,5557,52.762,51,-3.289,-3.682,FALSE
2022,8,2021,7,primary,exiter,<4.3,48,,,,,,77107,5554,52.487,50,78718,5567,52.803,51,,,TRUE
2022,8,2021,7,primary,exiter,4.3-4.9,10,,,,,,77107,5554,52.487,50,78718,5567,52.803,51,,,TRUE
2022,8,2021,7,primary,exiter,>=5.0,131,64.805,64.137,0.854,0.626,0.634,77107,5554,52.487,50,78718,5567,52.803,51,12.318,11.334,FALSE
2022,8,2021,7,primary,never_el,"",73334,53.462,53.238,0.005,0.444,0.464,77107,5554,52.487,50,78718,5567,52.803,51,0.975,0.435,FALSE
2022,8,2021,7,primary,stayer,<4.3,3925,17.553,18.189,1.205,0.028,0.046,77107,5554,52.487,50,78718,5567,52.803,51,-34.934,-34.614,FALSE
2022,8,2021,7,primary,stayer,4.3-4.9,606,43.037,45.091,0.116,0.223,0.274,77107,5554,52.487,50,78718,5567,52.803,51,-9.45,-7.712,FALSE
2023,4,2022,3,primary,exiter,<4.3,43,,,,,,70989,5445,52.291,,72584,5477,52.605,51,,,TRUE
2023,4,2022,3,primary,exiter,>=5.0,282,80.705,81.778,-1.333,0.865,0.848,70989,5445,52.291,,72584,5477,52.605,51,28.414,29.173,FALSE
2023,4,2022,3,primary,never_el,"",67999,53.277,53.056,-0.174,0.438,0.433,70989,5445,52.291,,72584,5477,52.605,51,0.986,0.451,FALSE
