YEAR_T,YEAR_T1,window,WIDA_EXIT_BAND,n,n_el_known_both,p_el_to_not_el,p_still_el,p_el_unknown_t1
2021,2022,primary,<4.3,204,184,0.181,0.721,0.064
2021,2022,primary,4.3-4.9,57,56,0.368,0.526,0.018
2021,2022,primary,>=5.0,2659,2606,0.938,0.027,0.003
2022,2023,primary,<4.3,197,190,0.228,0.706,0
2022,2023,primary,4.3-4.9,37,37,0.324,0.649,0
2022,2023,primary,>=5.0,3317,3279,0.922,0.037,0
2023,2024,primary,<4.3,221,221,0.167,0.729,0
2023,2024,primary,4.3-4.9,69,69,0.203,0.667,0
2023,2024,primary,>=5.0,3172,3172,0.894,0.066,0
2024,2025,primary,<4.3,211,211,0.142,0.754,0
2024,2025,primary,4.3-4.9,822,822,0.23,0.758,0
2024,2025,primary,>=5.0,3420,3420,0.946,0.025,0
