YEAR_T,window,role,N
2021,primary,attritor,5229
2021,primary,exiter,2920
2021,primary,never_el,350082
2021,primary,stayer,27439
2022,primary,attritor,6928
2022,primary,exiter,3551
2022,primary,never_el,353583
2022,primary,stayer,29569
2023,primary,attritor,7780
2023,primary,exiter,3462
2023,primary,never_el,356332
2023,primary,stayer,31530
2024,primary,attritor,8847
2024,primary,exiter,4453
2024,primary,never_el,355376
2024,primary,stayer,33251
2025,ranks_only,attritor,10139
2025,ranks_only,exiter,5047
2025,ranks_only,never_el,355754
2025,ranks_only,stayer,33406
