YEAR_T,YEAR_T1,window,GRADE,role,WIDA_EXIT_BAND,N,suppress
2021,2022,primary,3,attritor,<4.3,259,FALSE
2021,2022,primary,3,attritor,4.3-4.9,44,FALSE
2021,2022,primary,3,attritor,>=5.0,19,FALSE
2021,2022,primary,3,exiter,<4.3,38,FALSE
2021,2022,primary,3,exiter,4.3-4.9,11,FALSE
2021,2022,primary,3,exiter,>=5.0,231,FALSE
2021,2022,primary,3,never_el,"",67223,FALSE
2021,2022,primary,3,stayer,<4.3,5928,FALSE
2021,2022,primary,3,stayer,4.3-4.9,1310,FALSE
2021,2022,primary,4,attritor,<4.3,177,FALSE
2021,2022,primary,4,attritor,4.3-4.9,69,FALSE
2021,2022,primary,4,attritor,>=5.0,58,FALSE
2021,2022,primary,4,exiter,<4.3,35,FALSE
2021,2022,primary,4,exiter,4.3-4.9,15,FALSE
2021,2022,primary,4,exiter,>=5.0,1240,FALSE
2021,2022,primary,4,never_el,"",67677,FALSE
2021,2022,primary,4,stayer,<4.3,3854,FALSE
2021,2022,primary,4,stayer,4.3-4.9,1994,FALSE
2021,2022,primary,4,stayer,>=5.0,26,FALSE
2021,2022,primary,5,attritor,<4.3,160,FALSE
2021,2022,primary,5,attritor,4.3-4.9,58,FALSE
2021,2022,primary,5,attritor,>=5.0,31,FALSE
2021,2022,primary,5,exiter,<4.3,27,FALSE
2021,2022,primary,5,exiter,>=5.0,989,FALSE
2021,2022,primary,5,never_el,"",69982,FALSE
2021,2022,primary,5,stayer,<4.3,3142,FALSE
2021,2022,primary,5,stayer,4.3-4.9,1730,FALSE
2021,2022,primary,5,stayer,>=5.0,39,FALSE
2021,2022,primary,6,attritor,<4.3,232,FALSE
2021,2022,primary,6,attritor,4.3-4.9,17,FALSE
2021,2022,primary,6,exiter,<4.3,56,FALSE
2021,2022,primary,6,exiter,4.3-4.9,12,FALSE
2021,2022,primary,6,exiter,>=5.0,68,FALSE
2021,2022,primary,6,never_el,"",71866,FALSE
2021,2022,primary,6,stayer,<4.3,4400,FALSE
2021,2022,primary,6,stayer,4.3-4.9,472,FALSE
2021,2022,primary,7,attritor,<4.3,233,FALSE
2021,2022,primary,7,attritor,4.3-4.9,23,FALSE
2021,2022,primary,7,exiter,<4.3,48,FALSE
2021,2022,primary,7,exiter,4.3-4.9,10,FALSE
2021,2022,primary,7,exiter,>=5.0,131,FALSE
2021,2022,primary,7,never_el,"",73334,FALSE
2021,2022,primary,7,stayer,<4.3,3925,FALSE
2021,2022,primary,7,stayer,4.3-4.9,606,FALSE
2021,2022,primary,8,attritor,<4.3,3164,FALSE
2021,2022,primary,8,attritor,4.3-4.9,518,FALSE
2021,2022,primary,8,attritor,>=5.0,153,FALSE
2022,2023,primary,3,attritor,<4.3,279,FALSE
2022,2023,primary,3,attritor,4.3-4.9,39,FALSE
2022,2023,primary,3,attritor,>=5.0,14,FALSE
2022,2023,primary,3,exiter,<4.3,43,FALSE
2022,2023,primary,3,exiter,>=5.0,282,FALSE
2022,2023,primary,3,never_el,"",67999,FALSE
2022,2023,primary,3,stayer,<4.3,6181,FALSE
2022,2023,primary,3,stayer,4.3-4.9,1195,FALSE
2022,2023,primary,4,attritor,<4.3,168,FALSE
2022,2023,primary,4,attritor,4.3-4.9,90,FALSE
2022,2023,primary,4,attritor,>=5.0,66,FALSE
2022,2023,primary,4,exiter,<4.3,30,FALSE
2022,2023,primary,4,exiter,>=5.0,1612,FALSE
2022,2023,primary,4,never_el,"",69416,FALSE
2022,2023,primary,4,stayer,<4.3,4065,FALSE
2022,2023,primary,4,stayer,4.3-4.9,2234,FALSE
2022,2023,primary,4,stayer,>=5.0,16,FALSE
2022,2023,primary,5,attritor,<4.3,181,FALSE
2022,2023,primary,5,attritor,4.3-4.9,55,FALSE
2022,2023,primary,5,attritor,>=5.0,31,FALSE
2022,2023,primary,5,exiter,<4.3,31,FALSE
2022,2023,primary,5,exiter,>=5.0,1235,FALSE
2022,2023,primary,5,never_el,"",70526,FALSE
2022,2023,primary,5,stayer,<4.3,3416,FALSE
2022,2023,primary,5,stayer,4.3-4.9,1846,FALSE
2022,2023,primary,5,stayer,>=5.0,20,FALSE
2022,2023,primary,6,attritor,<4.3,266,FALSE
2022,2023,primary,6,attritor,4.3-4.9,25,FALSE
2022,2023,primary,6,exiter,<4.3,50,FALSE
2022,2023,primary,6,exiter,>=5.0,54,FALSE
2022,2023,primary,6,never_el,"",72263,FALSE
2022,2023,primary,6,stayer,<4.3,4680,FALSE
2022,2023,primary,6,stayer,4.3-4.9,637,FALSE
2022,2023,primary,7,attritor,<4.3,238,FALSE
2022,2023,primary,7,attritor,4.3-4.9,29,FALSE
2022,2023,primary,7,exiter,<4.3,43,FALSE
2022,2023,primary,7,exiter,4.3-4.9,11,FALSE
2022,2023,primary,7,exiter,>=5.0,134,FALSE
2022,2023,primary,7,never_el,"",73379,FALSE
2022,2023,primary,7,stayer,<4.3,4567,FALSE
2022,2023,primary,7,stayer,4.3-4.9,703,FALSE
2022,2023,primary,8,attritor,<4.3,4353,FALSE
2022,2023,primary,8,attritor,4.3-4.9,886,FALSE
2022,2023,primary,8,attritor,>=5.0,195,FALSE
2023,2024,primary,3,attritor,<4.3,315,FALSE
2023,2024,primary,3,attritor,4.3-4.9,33,FALSE
2023,2024,primary,3,attritor,>=5.0,11,FALSE
2023,2024,primary,3,exiter,<4.3,54,FALSE
2023,2024,primary,3,exiter,4.3-4.9,23,FALSE
2023,2024,primary,3,exiter,>=5.0,372,FALSE
2023,2024,primary,3,never_el,"",70428,FALSE
2023,2024,primary,3,stayer,<4.3,6680,FALSE
2023,2024,primary,3,stayer,4.3-4.9,1223,FALSE
2023,2024,primary,4,attritor,<4.3,221,FALSE
2023,2024,primary,4,attritor,4.3-4.9,61,FALSE
2023,2024,primary,4,attritor,>=5.0,62,FALSE
2023,2024,primary,4,exiter,<4.3,24,FALSE
2023,2024,primary,4,exiter,>=5.0,1517,FALSE
2023,2024,primary,4,never_el,"",69304,FALSE
2023,2024,primary,4,stayer,<4.3,4226,FALSE
2023,2024,primary,4,stayer,4.3-4.9,2245,FALSE
2023,2024,primary,4,stayer,>=5.0,16,FALSE
2023,2024,primary,5,attritor,<4.3,212,FALSE
2023,2024,primary,5,attritor,4.3-4.9,68,FALSE
2023,2024,primary,5,attritor,>=5.0,42,FALSE
2023,2024,primary,5,exiter,<4.3,22,FALSE
2023,2024,primary,5,exiter,4.3-4.9,17,FALSE
2023,2024,primary,5,exiter,>=5.0,1132,FALSE
2023,2024,primary,5,never_el,"",71592,FALSE
2023,2024,primary,5,stayer,<4.3,3768,FALSE
2023,2024,primary,5,stayer,4.3-4.9,1975,FALSE
2023,2024,primary,5,stayer,>=5.0,10,FALSE
2023,2024,primary,6,attritor,<4.3,318,FALSE
2023,2024,primary,6,attritor,4.3-4.9,19,FALSE
2023,2024,primary,6,exiter,<4.3,66,FALSE
2023,2024,primary,6,exiter,4.3-4.9,12,FALSE
2023,2024,primary,6,exiter,>=5.0,48,FALSE
2023,2024,primary,6,never_el,"",72225,FALSE
2023,2024,primary,6,stayer,<4.3,5083,FALSE
2023,2024,primary,6,stayer,4.3-4.9,593,FALSE
2023,2024,primary,7,attritor,<4.3,285,FALSE
2023,2024,primary,7,attritor,4.3-4.9,24,FALSE
2023,2024,primary,7,exiter,<4.3,55,FALSE
2023,2024,primary,7,exiter,>=5.0,103,FALSE
2023,2024,primary,7,never_el,"",72783,FALSE
2023,2024,primary,7,stayer,<4.3,4987,FALSE
2023,2024,primary,7,stayer,4.3-4.9,715,FALSE
2023,2024,primary,8,attritor,<4.3,5125,FALSE
2023,2024,primary,8,attritor,4.3-4.9,850,FALSE
2023,2024,primary,8,attritor,>=5.0,126,FALSE
2024,2025,primary,3,attritor,<4.3,394,FALSE
2024,2025,primary,3,attritor,4.3-4.9,52,FALSE
2024,2025,primary,3,attritor,>=5.0,17,FALSE
2024,2025,primary,3,exiter,<4.3,45,FALSE
2024,2025,primary,3,exiter,4.3-4.9,223,FALSE
2024,2025,primary,3,exiter,>=5.0,419,FALSE
2024,2025,primary,3,never_el,"",69602,FALSE
2024,2025,primary,3,stayer,<4.3,6858,FALSE
2024,2025,primary,3,stayer,4.3-4.9,1062,FALSE
2024,2025,primary,4,attritor,<4.3,274,FALSE
2024,2025,primary,4,attritor,4.3-4.9,86,FALSE
2024,2025,primary,4,attritor,>=5.0,45,FALSE
2024,2025,primary,4,exiter,<4.3,24,FALSE
2024,2025,primary,4,exiter,4.3-4.9,236,FALSE
2024,2025,primary,4,exiter,>=5.0,1559,FALSE
2024,2025,primary,4,never_el,"",70824,FALSE
