YEAR_T,YEAR_T1,window,GRADE,role,WIDA_EXIT_BAND,n,sgp_median,p_sgp_below_35,p_sgp_above_65,suppress
2021,2022,primary,3,exiter,<4.3,38,,,,TRUE
2021,2022,primary,3,exiter,4.3-4.9,11,,,,TRUE
2021,2022,primary,3,exiter,>=5.0,231,63,0.225,0.463,FALSE
2021,2022,primary,3,never_el,"",67223,50,0.342,0.349,FALSE
2021,2022,primary,3,stayer,<4.3,5928,44,0.406,0.284,FALSE
2021,2022,primary,3,stayer,4.3-4.9,1310,56,0.277,0.395,FALSE
2021,2022,primary,4,exiter,<4.3,35,,,,TRUE
2021,2022,primary,4,exiter,4.3-4.9,15,,,,TRUE
2021,2022,primary,4,exiter,>=5.0,1240,55,0.276,0.389,FALSE
2021,2022,primary,4,never_el,"",67677,50,0.344,0.349,FALSE
2021,2022,primary,4,stayer,<4.3,3854,43,0.41,0.268,FALSE
2021,2022,primary,4,stayer,4.3-4.9,1994,52,0.315,0.348,FALSE
2021,2022,primary,4,stayer,>=5.0,26,,,,TRUE
2021,2022,primary,5,exiter,<4.3,27,,,,TRUE
2021,2022,primary,5,exiter,>=5.0,989,54,0.294,0.378,FALSE
2021,2022,primary,5,never_el,"",69982,50,0.343,0.347,FALSE
2021,2022,primary,5,stayer,<4.3,3142,41,0.419,0.27,FALSE
2021,2022,primary,5,stayer,4.3-4.9,1730,53,0.323,0.367,FALSE
2021,2022,primary,5,stayer,>=5.0,39,,,,TRUE
2021,2022,primary,6,exiter,<4.3,56,42,0.429,0.232,FALSE
2021,2022,primary,6,exiter,4.3-4.9,12,,,,TRUE
2021,2022,primary,6,exiter,>=5.0,68,45,0.397,0.338,FALSE
2021,2022,primary,6,never_el,"",71866,51,0.339,0.351,FALSE
2021,2022,primary,6,stayer,<4.3,4400,41,0.435,0.252,FALSE
2021,2022,primary,6,stayer,4.3-4.9,472,48,0.352,0.316,FALSE
2021,2022,primary,7,exiter,<4.3,48,,,,TRUE
2021,2022,primary,7,exiter,4.3-4.9,10,,,,TRUE
2021,2022,primary,7,exiter,>=5.0,131,54,0.313,0.321,FALSE
2021,2022,primary,7,never_el,"",73334,51,0.341,0.35,FALSE
2021,2022,primary,7,stayer,<4.3,3925,41,0.424,0.251,FALSE
2021,2022,primary,7,stayer,4.3-4.9,606,49.5,0.347,0.318,FALSE
2022,2023,primary,3,exiter,<4.3,43,,,,TRUE
2022,2023,primary,3,exiter,>=5.0,282,57,0.28,0.394,FALSE
2022,2023,primary,3,never_el,"",67999,50,0.341,0.35,FALSE
2022,2023,primary,3,stayer,<4.3,6181,43,0.408,0.281,FALSE
2022,2023,primary,3,stayer,4.3-4.9,1195,55,0.295,0.382,FALSE
2022,2023,primary,4,exiter,<4.3,30,,,,TRUE
2022,2023,primary,4,exiter,>=5.0,1612,58,0.268,0.426,FALSE
2022,2023,primary,4,never_el,"",69416,50,0.347,0.344,FALSE
2022,2023,primary,4,stayer,<4.3,4065,45,0.381,0.293,FALSE
2022,2023,primary,4,stayer,4.3-4.9,2234,56,0.282,0.395,FALSE
2022,2023,primary,4,stayer,>=5.0,16,,,,TRUE
2022,2023,primary,5,exiter,<4.3,31,,,,TRUE
2022,2023,primary,5,exiter,>=5.0,1235,58,0.263,0.411,FALSE
2022,2023,primary,5,never_el,"",70526,50,0.346,0.344,FALSE
2022,2023,primary,5,stayer,<4.3,3416,46.5,0.383,0.314,FALSE
2022,2023,primary,5,stayer,4.3-4.9,1846,52,0.317,0.372,FALSE
2022,2023,primary,5,stayer,>=5.0,20,,,,TRUE
2022,2023,primary,6,exiter,<4.3,50,41.5,0.44,0.32,FALSE
2022,2023,primary,6,exiter,>=5.0,54,61,0.259,0.463,FALSE
2022,2023,primary,6,never_el,"",72263,50,0.344,0.347,FALSE
2022,2023,primary,6,stayer,<4.3,4680,46,0.378,0.302,FALSE
2022,2023,primary,6,stayer,4.3-4.9,637,54,0.301,0.381,FALSE
2022,2023,primary,7,exiter,<4.3,43,,,,TRUE
2022,2023,primary,7,exiter,4.3-4.9,11,,,,TRUE
2022,2023,primary,7,exiter,>=5.0,134,60.5,0.239,0.448,FALSE
2022,2023,primary,7,never_el,"",73379,50,0.344,0.347,FALSE
2022,2023,primary,7,stayer,<4.3,4567,45,0.388,0.292,FALSE
2022,2023,primary,7,stayer,4.3-4.9,703,55,0.287,0.394,FALSE
2023,2024,primary,3,exiter,<4.3,54,36,0.481,0.241,FALSE
2023,2024,primary,3,exiter,4.3-4.9,23,,,,TRUE
2023,2024,primary,3,exiter,>=5.0,372,62,0.231,0.47,FALSE
2023,2024,primary,3,never_el,"",70428,50,0.343,0.347,FALSE
2023,2024,primary,3,stayer,<4.3,6680,46,0.38,0.307,FALSE
2023,2024,primary,3,stayer,4.3-4.9,1223,53,0.295,0.386,FALSE
2023,2024,primary,4,exiter,<4.3,24,,,,TRUE
2023,2024,primary,4,exiter,>=5.0,1517,57,0.274,0.411,FALSE
2023,2024,primary,4,never_el,"",69304,50,0.346,0.344,FALSE
2023,2024,primary,4,stayer,<4.3,4226,46,0.383,0.307,FALSE
2023,2024,primary,4,stayer,4.3-4.9,2245,55,0.294,0.394,FALSE
2023,2024,primary,4,stayer,>=5.0,16,,,,TRUE
2023,2024,primary,5,exiter,<4.3,22,,,,TRUE
2023,2024,primary,5,exiter,4.3-4.9,17,,,,TRUE
2023,2024,primary,5,exiter,>=5.0,1132,60,0.253,0.429,FALSE
2023,2024,primary,5,never_el,"",71592,50,0.348,0.344,FALSE
2023,2024,primary,5,stayer,<4.3,3768,47,0.363,0.307,FALSE
2023,2024,primary,5,stayer,4.3-4.9,1975,57,0.269,0.41,FALSE
2023,2024,primary,5,stayer,>=5.0,10,,,,TRUE
2023,2024,primary,6,exiter,<4.3,66,49.5,0.318,0.409,FALSE
2023,2024,primary,6,exiter,4.3-4.9,12,,,,TRUE
2023,2024,primary,6,exiter,>=5.0,48,,,,TRUE
2023,2024,primary,6,never_el,"",72225,50,0.343,0.347,FALSE
2023,2024,primary,6,stayer,<4.3,5083,45,0.381,0.302,FALSE
2023,2024,primary,6,stayer,4.3-4.9,593,54,0.287,0.379,FALSE
2023,2024,primary,7,exiter,<4.3,55,31,0.509,0.309,FALSE
2023,2024,primary,7,exiter,>=5.0,103,71,0.262,0.553,FALSE
2023,2024,primary,7,never_el,"",72783,50,0.343,0.347,FALSE
2023,2024,primary,7,stayer,<4.3,4987,45,0.394,0.304,FALSE
