YEAR,YEAR_STRATUM,GRADE,n,kendall,spearman,content
2017,istep_contrast,3,5706,0.4958,0.6813,ELA
2017,istep_contrast,4,3166,0.4691,0.6495,ELA
2017,istep_contrast,5,2044,0.4923,0.6746,ELA
2017,istep_contrast,6,1908,0.4911,0.6728,ELA
2017,istep_contrast,7,2476,0.5092,0.6928,ELA
2017,istep_contrast,8,2437,0.4926,0.6755,ELA
2018,istep_contrast,3,7121,0.5626,0.7542,ELA
2018,istep_contrast,4,6239,0.5456,0.7352,ELA
2018,istep_contrast,5,3665,0.5422,0.7311,ELA
2018,istep_contrast,6,2567,0.543,0.7334,ELA
2018,istep_contrast,7,2442,0.5813,0.7729,ELA
2018,istep_contrast,8,2862,0.5402,0.7319,ELA
2019,ilearn_2019,3,7673,0.5548,0.7484,ELA
2019,ilearn_2019,4,7334,0.5504,0.7443,ELA
2019,ilearn_2019,5,5642,0.5056,0.6938,ELA
2019,ilearn_2019,6,3589,0.4763,0.6577,ELA
2019,ilearn_2019,7,2874,0.5386,0.7321,ELA
2019,ilearn_2019,8,2688,0.548,0.7408,ELA
2021,primary,3,7849,0.5419,0.7375,ELA
2021,primary,4,7468,0.5542,0.75,ELA
2021,primary,5,6185,0.5178,0.7094,ELA
2021,primary,6,5263,0.5064,0.6918,ELA
2021,primary,7,4988,0.5179,0.7085,ELA
2021,primary,8,3835,0.5247,0.717,ELA
2022,primary,3,8045,0.5718,0.7706,ELA
2022,primary,4,8289,0.5715,0.7674,ELA
2022,primary,5,6822,0.5568,0.751,ELA
2022,primary,6,5725,0.505,0.6936,ELA
2022,primary,7,5733,0.5246,0.7147,ELA
2022,primary,8,5434,0.5311,0.7227,ELA
2023,primary,3,8714,0.6049,0.8057,ELA
2023,primary,4,8381,0.5841,0.7837,ELA
2023,primary,5,7246,0.556,0.7515,ELA
2023,primary,6,6143,0.5297,0.7206,ELA
2023,primary,7,6187,0.5342,0.7267,ELA
2023,primary,8,6101,0.5542,0.7489,ELA
2024,primary,3,9074,0.6141,0.8128,ELA
2024,primary,4,9211,0.6114,0.8105,ELA
2024,primary,5,7700,0.5881,0.7879,ELA
2024,primary,6,6921,0.5585,0.7556,ELA
2024,primary,7,6807,0.5724,0.7699,ELA
2024,primary,8,6838,0.5661,0.7625,ELA
2025,primary,3,9821,0.5921,0.7937,ELA
2025,primary,4,9187,0.5548,0.7557,ELA
2025,primary,5,8082,0.5313,0.7305,ELA
2025,primary,6,6919,0.5205,0.7137,ELA
2025,primary,7,7419,0.5225,0.7186,ELA
2025,primary,8,7164,0.5286,0.7266,ELA
2026,ilearn_2026,3,10088,0.6054,0.8025,ELA
2026,ilearn_2026,4,8515,0.5676,0.7635,ELA
2026,ilearn_2026,5,7421,0.5593,0.7565,ELA
2026,ilearn_2026,6,6660,0.5518,0.7493,ELA
2026,ilearn_2026,7,6850,0.5616,0.7586,ELA
2026,ilearn_2026,8,7115,0.5356,0.7296,ELA
2017,istep_contrast,3,5985,0.4316,0.6024,MATHEMATICS
2017,istep_contrast,4,3424,0.4168,0.5813,MATHEMATICS
2017,istep_contrast,5,2282,0.4003,0.5619,MATHEMATICS
2017,istep_contrast,6,2145,0.4041,0.5649,MATHEMATICS
2017,istep_contrast,7,2669,0.3863,0.5449,MATHEMATICS
2017,istep_contrast,8,2655,0.3797,0.5375,MATHEMATICS
2018,istep_contrast,3,7162,0.4722,0.6533,MATHEMATICS
2018,istep_contrast,4,6255,0.4512,0.6266,MATHEMATICS
2018,istep_contrast,5,3690,0.3767,0.5336,MATHEMATICS
2018,istep_contrast,6,2580,0.4353,0.6047,MATHEMATICS
2018,istep_contrast,7,2448,0.38,0.5357,MATHEMATICS
2018,istep_contrast,8,2868,0.4306,0.5999,MATHEMATICS
2019,ilearn_2019,3,7679,0.5111,0.6975,MATHEMATICS
2019,ilearn_2019,4,7335,0.4887,0.6708,MATHEMATICS
2019,ilearn_2019,5,5643,0.4519,0.6288,MATHEMATICS
2019,ilearn_2019,6,3591,0.423,0.5956,MATHEMATICS
2019,ilearn_2019,7,2869,0.4269,0.6021,MATHEMATICS
2019,ilearn_2019,8,2691,0.4282,0.6018,MATHEMATICS
2021,primary,3,7844,0.5204,0.7097,MATHEMATICS
2021,primary,4,7469,0.514,0.7036,MATHEMATICS
2021,primary,5,6186,0.4687,0.651,MATHEMATICS
2021,primary,6,5247,0.4333,0.6093,MATHEMATICS
2021,primary,7,4992,0.4335,0.6101,MATHEMATICS
2021,primary,8,3828,0.411,0.5832,MATHEMATICS
2022,primary,3,8057,0.5316,0.7242,MATHEMATICS
2022,primary,4,8286,0.5177,0.707,MATHEMATICS
2022,primary,5,6822,0.4716,0.6579,MATHEMATICS
2022,primary,6,5720,0.4379,0.6168,MATHEMATICS
2022,primary,7,5738,0.4229,0.5984,MATHEMATICS
2022,primary,8,5429,0.4096,0.5824,MATHEMATICS
2023,primary,3,8710,0.5363,0.7297,MATHEMATICS
2023,primary,4,8382,0.5195,0.7102,MATHEMATICS
2023,primary,5,7245,0.4507,0.6288,MATHEMATICS
2023,primary,6,6133,0.4442,0.6231,MATHEMATICS
2023,primary,7,6183,0.4237,0.5983,MATHEMATICS
2023,primary,8,6104,0.4141,0.589,MATHEMATICS
2024,primary,3,9061,0.5386,0.7315,MATHEMATICS
