YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,p_ilearn_proficient
2018,3,WIDA Level 1,317,0.0443,10.7955,0.0095
2018,3,WIDA Level 2,1482,0.1598,23.4433,0.0148
2018,3,WIDA Level 3,3295,0.2677,52.1793,0.1542
2018,3,WIDA Level 4,639,0.0587,77.1015,0.4507
2018,3,WIDA Level 4.3,611,0.1231,87.5156,0.6972
2018,3,WIDA Level 5,78,0.0758,95.7737,0.9103
2018,4,WIDA Level 1,345,0.1503,8.9111,0.0145
2018,4,WIDA Level 2,913,0.1665,20.3136,0.0099
2018,4,WIDA Level 3,2801,0.2259,48.8589,0.086
2018,4,WIDA Level 4,784,0.1141,69.0418,0.2156
2018,4,WIDA Level 4.3,797,0.1141,82.1254,0.4228
2018,4,WIDA Level 5,98,0.1219,91.6289,0.6429
2018,5,WIDA Level 1,147,0.1717,9.8015,0.0136
2018,5,WIDA Level 2,269,0.0296,17.771,0.0297
2018,5,WIDA Level 3,1411,0.2239,39.7252,0.0191
2018,5,WIDA Level 4,591,0.077,59.1603,0.0508
2018,5,WIDA Level 4.3,727,0.1857,77.5878,0.1733
2018,5,WIDA Level 5,121,0.1256,90.8244,0.4463
2018,6,WIDA Level 1,158,0.0944,13.813,0
2018,6,WIDA Level 2,253,0.1213,21.4253,0.004
2018,6,WIDA Level 3,862,0.1881,41.9482,0.0151
2018,6,WIDA Level 4,330,0.0824,62.5868,0.0576
2018,6,WIDA Level 4.3,464,0.1624,75.081,0.1358
2018,6,WIDA Level 5,86,0.2581,92.6307,0.4651
2018,7,WIDA Level 1,188,0.1786,11.9871,0
2018,7,WIDA Level 2,477,0.2075,27.2862,0.0042
2018,7,WIDA Level 3,969,0.2014,54.9679,0.0258
2018,7,WIDA Level 4,196,0.0877,76.3223,0.1633
2018,7,WIDA Level 4.3,170,0.224,87.259,0.2765
2018,7,WIDA Level 5,21,,,
2018,8,WIDA Level 1,229,0.1159,11.2302,0
