YEAR,YEAR_STRATUM,GRADE,n,kendall,spearman
2018,istep_contrast,3,6423,0.5019,0.6896
2018,istep_contrast,4,5739,0.4833,0.6657
2018,istep_contrast,5,3274,0.4614,0.6351
2018,istep_contrast,6,2160,0.464,0.6444
2018,istep_contrast,7,2022,0.4785,0.6566
2018,istep_contrast,8,2519,0.4812,0.6645
2019,ilearn_2019,3,6987,0.5019,0.6897
2019,ilearn_2019,4,6909,0.4949,0.6815
2019,ilearn_2019,5,6038,0.4782,0.6599
2019,ilearn_2019,6,3506,0.4447,0.6209
2019,ilearn_2019,7,2442,0.4573,0.6349
2019,ilearn_2019,8,2327,0.4952,0.6778
2021,primary,3,7578,0.5158,0.7066
2021,primary,4,7466,0.5339,0.727
2021,primary,5,7370,0.5202,0.7082
2021,primary,6,6159,0.4896,0.6749
2021,primary,7,4750,0.4618,0.6432
2021,primary,8,3658,0.4919,0.6779
2022,primary,3,7176,0.5277,0.7219
2022,primary,4,7594,0.5263,0.7197
2022,primary,5,7251,0.5337,0.7248
2022,primary,6,5999,0.4762,0.6604
2022,primary,7,5080,0.4572,0.6348
2022,primary,8,4846,0.4809,0.6639
2023,primary,3,7759,0.5503,0.7459
2023,primary,4,7747,0.5495,0.7461
2023,primary,5,7987,0.5521,0.7453
2023,primary,6,6577,0.5083,0.6968
2023,primary,7,5456,0.4767,0.6598
2023,primary,8,5498,0.5052,0.6917
2024,primary,3,7923,0.5457,0.7401
2024,primary,4,8383,0.5653,0.7625
2024,primary,5,8070,0.5519,0.7476
2024,primary,6,6945,0.5071,0.6972
2024,primary,7,5838,0.4848,0.6709
2024,primary,8,5924,0.5222,0.7115
2025,primary,3,8784,0.5322,0.728
2025,primary,4,8642,0.5385,0.7342
2025,primary,5,8828,0.5524,0.7503
2025,primary,6,7355,0.5028,0.694
2025,primary,7,6563,0.4693,0.656
2025,primary,8,6468,0.4918,0.6837
2026,ilearn_2026,3,8988,0.559,0.7531
2026,ilearn_2026,4,8729,0.5524,0.7465
2026,ilearn_2026,5,8717,0.5545,0.7493
2026,ilearn_2026,6,7682,0.5358,0.7298
2026,ilearn_2026,7,6508,0.5165,0.7082
2026,ilearn_2026,8,7037,0.5259,0.7189
