YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,p_ilearn_proficient,content
2017,3,WIDA Level 1,390,0.23,11.3515,0.0436,MATHEMATICS
2017,3,WIDA Level 2,969,0.1189,22.1099,0.065,MATHEMATICS
2017,3,WIDA Level 3,2904,0.2089,48.9308,0.2407,MATHEMATICS
2017,3,WIDA Level 4,803,0.091,67.4323,0.4545,MATHEMATICS
2017,3,WIDA Level 4.3,815,0.1246,79.3602,0.6429,MATHEMATICS
2017,3,WIDA Level 5,103,0.1729,90.7701,0.8835,MATHEMATICS
2017,4,WIDA Level 1,164,0.1839,8.7883,0.0244,MATHEMATICS
2017,4,WIDA Level 2,286,0.0627,20.4818,0.042,MATHEMATICS
2017,4,WIDA Level 3,1467,0.1843,38.7299,0.0716,MATHEMATICS
2017,4,WIDA Level 4,612,0.0796,60.5547,0.165,MATHEMATICS
2017,4,WIDA Level 4.3,756,0.1332,73.2263,0.3108,MATHEMATICS
2017,4,WIDA Level 5,130,0.1491,89.3869,0.6308,MATHEMATICS
2017,5,WIDA Level 1,173,0.1784,10.2059,0.0058,MATHEMATICS
2017,5,WIDA Level 2,267,0.1056,25.8213,0.0225,MATHEMATICS
2017,5,WIDA Level 3,915,0.1456,44.021,0.0459,MATHEMATICS
2017,5,WIDA Level 4,348,0.0415,56.9207,0.1121,MATHEMATICS
2017,5,WIDA Level 4.3,481,0.1282,73.4998,0.1809,MATHEMATICS
2017,5,WIDA Level 5,90,0.2288,90.0679,0.5,MATHEMATICS
2017,6,WIDA Level 1,215,0.2184,15.1911,0.0186,MATHEMATICS
2017,6,WIDA Level 2,520,0.1196,30.8714,0.0173,MATHEMATICS
2017,6,WIDA Level 3,1005,0.1633,54.124,0.0478,MATHEMATICS
2017,6,WIDA Level 4,198,0.0408,73.7651,0.1818,MATHEMATICS
2017,6,WIDA Level 4.3,180,0.1276,85.3099,0.2667,MATHEMATICS
2017,6,WIDA Level 5,26,,,,MATHEMATICS
2017,7,WIDA Level 1,260,0.1613,16.6105,0.0077,MATHEMATICS
2017,7,WIDA Level 2,485,0.102,31.2734,0.0124,MATHEMATICS
2017,7,WIDA Level 3,1148,0.1274,50.8614,0.02,MATHEMATICS
2017,7,WIDA Level 4,390,0.0681,67.2846,0.0795,MATHEMATICS
2017,7,WIDA Level 4.3,335,0.1084,80.9363,0.1642,MATHEMATICS
2017,7,WIDA Level 5,47,,,,MATHEMATICS
2017,8,WIDA Level 1,274,0.1607,16.2651,0.0073,MATHEMATICS
2017,8,WIDA Level 2,451,0.0724,28.2191,0.0177,MATHEMATICS
2017,8,WIDA Level 3,1044,0.1483,48.5881,0.0192,MATHEMATICS
2017,8,WIDA Level 4,404,0.0016,65.4556,0.052,MATHEMATICS
2017,8,WIDA Level 4.3,430,0.0907,75.3106,0.1209,MATHEMATICS
2017,8,WIDA Level 5,49,,,,MATHEMATICS
2018,3,WIDA Level 1,329,0.1869,7.8738,0.0365,MATHEMATICS
2018,3,WIDA Level 2,835,0.1224,17.716,0.0527,MATHEMATICS
2018,3,WIDA Level 3,3341,0.2282,42.7754,0.2484,MATHEMATICS
2018,3,WIDA Level 4,1042,0.0887,64.9937,0.523,MATHEMATICS
2018,3,WIDA Level 4.3,1364,0.1633,77.5164,0.7082,MATHEMATICS
2018,3,WIDA Level 5,248,0.0841,89.5086,0.8992,MATHEMATICS
2018,4,WIDA Level 1,140,0.1434,5.8344,0.0143,MATHEMATICS
2018,4,WIDA Level 2,277,0.1363,12.0604,0.0433,MATHEMATICS
2018,4,WIDA Level 3,1661,0.1956,27.0141,0.068,MATHEMATICS
2018,4,WIDA Level 4,964,0.0612,44.5332,0.1722,MATHEMATICS
2018,4,WIDA Level 4.3,2155,0.1329,61.7887,0.3485,MATHEMATICS
2018,4,WIDA Level 5,957,0.1644,79.5476,0.629,MATHEMATICS
2018,4,WIDA Level 6,101,0.1707,92.3673,0.8713,MATHEMATICS
2018,5,WIDA Level 1,157,0.2954,11.7312,0.0318,MATHEMATICS
2018,5,WIDA Level 2,268,0.0871,28.0818,0.0224,MATHEMATICS
2018,5,WIDA Level 3,1146,0.1056,34.6789,0.0585,MATHEMATICS
2018,5,WIDA Level 4,550,0.0026,48.5234,0.0855,MATHEMATICS
2018,5,WIDA Level 4.3,1081,0.1215,63.6548,0.1776,MATHEMATICS
2018,5,WIDA Level 5,448,0.1177,80.7234,0.4107,MATHEMATICS
