YEAR,GRADE,WIDA_LEVEL,n_paired,paired_median,paired_pctile_median,n_never_el,never_el_median,never_el_q25,never_el_q75,gap_vs_never_el,suppress
2017,3,WIDA Level 1,231,5331.29,7.9,,,,,,FALSE
2017,3,WIDA Level 2,905,5358.33,18.81,,,,,,FALSE
2017,3,WIDA Level 3,2868,5404,47.08,,,,,,FALSE
2017,3,WIDA Level 4,792,5435.04,69.23,,,,,,FALSE
2017,3,WIDA Level 4.3,808,5455.62,82.43,,,,,,FALSE
2017,3,WIDA Level 5,101,5486.33,93.79,,,,,,FALSE
2017,4,WIDA Level 1,49,5323.92,5.35,,,,,,TRUE
2017,4,WIDA Level 2,226,5347.94,14,,,,,,FALSE
2017,4,WIDA Level 3,1420,5381.94,35.74,,,,,,FALSE
2017,4,WIDA Level 4,602,5415.63,60.85,,,,,,FALSE
2017,4,WIDA Level 4.3,740,5439.47,75.66,,,,,,FALSE
2017,4,WIDA Level 5,120,5484.36,92.93,,,,,,FALSE
2017,5,WIDA Level 1,64,5327.25,5.93,,,,,,FALSE
2017,5,WIDA Level 2,217,5365.68,17.87,,,,,,FALSE
2017,5,WIDA Level 3,873,5406.55,39.78,,,,,,FALSE
2017,5,WIDA Level 4,340,5437.26,60.66,,,,,,FALSE
2017,5,WIDA Level 4.3,461,5464.69,76.67,,,,,,FALSE
2017,5,WIDA Level 5,82,5519.47,94.47,,,,,,FALSE
2017,6,WIDA Level 1,96,5372.9,10.21,,,,,,FALSE
2017,6,WIDA Level 2,457,5406.67,24.83,,,,,,FALSE
2017,6,WIDA Level 3,966,5449.11,52.85,,,,,,FALSE
2017,6,WIDA Level 4,193,5491.57,80.04,,,,,,FALSE
2017,6,WIDA Level 4.3,169,5503.78,86.01,,,,,,FALSE
2017,6,WIDA Level 5,26,5595.19,98.82,,,,,,TRUE
2017,7,WIDA Level 1,157,5373.22,6.9,,,,,,FALSE
2017,7,WIDA Level 2,444,5420.22,21.17,,,,,,FALSE
2017,7,WIDA Level 3,1115,5469.56,49.76,,,,,,FALSE
2017,7,WIDA Level 4,382,5502.95,71.44,,,,,,FALSE
2017,7,WIDA Level 4.3,328,5521.95,82.12,,,,,,FALSE
2017,7,WIDA Level 5,46,5563.39,94.41,,,,,,TRUE
2017,8,WIDA Level 1,144,5378.44,8.26,,,,,,FALSE
2017,8,WIDA Level 2,418,5433.9,22.79,,,,,,FALSE
2017,8,WIDA Level 3,1013,5474.23,45.88,,,,,,FALSE
2017,8,WIDA Level 4,397,5503.95,66.69,,,,,,FALSE
2017,8,WIDA Level 4.3,414,5525.61,79,,,,,,FALSE
2017,8,WIDA Level 5,48,5582.03,96.31,,,,,,TRUE
2018,3,WIDA Level 1,303,5322.14,6.2,,,,,,FALSE
2018,3,WIDA Level 2,827,5352.95,16.11,,,,,,FALSE
2018,3,WIDA Level 3,3341,5395.37,41.46,,,,,,FALSE
2018,3,WIDA Level 4,1039,5433.7,66.88,,,,,,FALSE
2018,3,WIDA Level 4.3,1360,5460.36,81.03,,,,,,FALSE
2018,3,WIDA Level 5,248,5498.53,93.96,,,,,,FALSE
2018,4,WIDA Level 1,136,5318.61,4.09,,,,,,FALSE
2018,4,WIDA Level 2,275,5342.04,8.66,,,,,,FALSE
2018,4,WIDA Level 3,1656,5381.94,24.37,,,,,,FALSE
2018,4,WIDA Level 4,961,5418.5,43.99,,,,,,FALSE
2018,4,WIDA Level 4.3,2153,5448.4,62.54,,,,,,FALSE
2018,4,WIDA Level 5,957,5487.02,83.5,,,,,,FALSE
2018,4,WIDA Level 6,101,5527.68,95.56,,,,,,FALSE
2018,5,WIDA Level 1,142,5319.81,5.95,,,,,,FALSE
2018,5,WIDA Level 2,264,5352.22,13.53,,,,,,FALSE
2018,5,WIDA Level 3,1143,5395.49,31.61,,,,,,FALSE
2018,5,WIDA Level 4,549,5432.48,51.35,,,,,,FALSE
2018,5,WIDA Level 4.3,1081,5460.39,67.14,,,,,,FALSE
2018,5,WIDA Level 5,447,5499.47,86.4,,,,,,FALSE
2018,5,WIDA Level 6,39,5569.4,97.86,,,,,,TRUE
2018,6,WIDA Level 1,201,5370.12,10.67,,,,,,FALSE
2018,6,WIDA Level 2,486,5404.36,23.54,,,,,,FALSE
2018,6,WIDA Level 3,1273,5451.38,52.1,,,,,,FALSE
2018,6,WIDA Level 4,284,5483.88,73.27,,,,,,FALSE
2018,6,WIDA Level 4.3,282,5518.47,88.26,,,,,,FALSE
2018,6,WIDA Level 5,40,5572.87,97.74,,,,,,TRUE
2018,7,WIDA Level 1,226,5354.13,9.13,,,,,,FALSE
2018,7,WIDA Level 2,479,5401.38,22.94,,,,,,FALSE
2018,7,WIDA Level 3,1091,5461.2,51.19,,,,,,FALSE
2018,7,WIDA Level 4,285,5501.6,72.98,,,,,,FALSE
2018,7,WIDA Level 4.3,300,5536,86.53,,,,,,FALSE
2018,7,WIDA Level 5,57,5596.75,96.95,,,,,,FALSE
2018,8,WIDA Level 1,221,5396.92,8.63,,,,,,FALSE
2018,8,WIDA Level 2,430,5440.46,21.48,,,,,,FALSE
2018,8,WIDA Level 3,1234,5485.92,46.3,,,,,,FALSE
2018,8,WIDA Level 4,422,5522.13,69.77,,,,,,FALSE
2018,8,WIDA Level 4.3,473,5543.52,82.1,,,,,,FALSE
2018,8,WIDA Level 5,78,5582.03,94.36,,,,,,FALSE
