YEAR,YEAR_STRATUM,GRADE,n,kendall,spearman
2018,istep_contrast,4,5307,0.1422,0.2092
2018,istep_contrast,5,2876,0.1787,0.2609
2018,istep_contrast,6,1839,0.162,0.2392
2018,istep_contrast,7,1736,0.1749,0.2567
2018,istep_contrast,8,2227,0.1361,0.1997
2019,ilearn_2019,4,6511,0.1433,0.2108
2019,ilearn_2019,5,4939,0.1235,0.1826
2019,ilearn_2019,6,2955,0.1361,0.2013
2019,ilearn_2019,7,2314,0.1783,0.2609
2019,ilearn_2019,8,2204,0.1654,0.2417
2021,primary,5,5263,0.1681,0.248
2021,primary,6,4442,0.1646,0.2413
2021,primary,7,4187,0.1652,0.2432
2021,primary,8,3095,0.1528,0.2256
2022,primary,4,7247,0.1362,0.2014
2022,primary,5,5874,0.1404,0.2077
2022,primary,6,4911,0.1261,0.1868
2022,primary,7,4870,0.1286,0.1894
2022,primary,8,4535,0.1153,0.1694
2023,primary,4,7384,0.1325,0.1957
2023,primary,5,6315,0.1662,0.2442
2023,primary,6,5282,0.1368,0.2012
2023,primary,7,5318,0.1449,0.2132
2023,primary,8,5268,0.148,0.2175
2024,primary,4,7906,0.1502,0.2209
2024,primary,5,6487,0.1676,0.2467
2024,primary,6,5753,0.1519,0.2233
2024,primary,7,5677,0.1752,0.2569
2024,primary,8,5707,0.1436,0.2112
2025,primary,4,7924,0.1475,0.2173
2025,primary,5,6987,0.1583,0.2329
2025,primary,6,5898,0.1608,0.2362
2025,primary,7,6306,0.1483,0.2181
2025,primary,8,6136,0.1442,0.2118
2026,ilearn_2026,4,7768,0.1573,0.2316
2026,ilearn_2026,5,6779,0.1818,0.267
2026,ilearn_2026,6,6098,0.1898,0.2781
2026,ilearn_2026,7,6196,0.1781,0.262
2026,ilearn_2026,8,6562,0.1399,0.2063
