family,n,loglik,aic,bic,tau,rho,df,lambda_lower,lambda_upper,converged,best_aic,YEAR_T,YEAR_T1,window,GRADE
t,4846,1408.9696,-2813.9393,-2800.9674,0.4642,,25.6604,0.0288,0.0288,TRUE,TRUE,2021,2022,primary,8
frank,4846,1380.3991,-2758.7981,-2752.3122,0.4769,0.6677,,0,0,TRUE,FALSE,2021,2022,primary,8
gaussian,4846,1402.717,-2803.4341,-2796.9482,0.4621,0.6461,,0,0,TRUE,FALSE,2021,2022,primary,8
t,5080,1351.2141,-2698.4282,-2685.3621,0.4453,,30.6739,0.0134,0.0134,TRUE,TRUE,2021,2022,primary,7
frank,5080,1291.4584,-2580.9169,-2574.3838,0.4526,0.6385,,0,0,TRUE,FALSE,2021,2022,primary,7
gaussian,5080,1346.8727,-2691.7454,-2685.2123,0.4441,0.6245,,0,0,TRUE,FALSE,2021,2022,primary,7
t,5999,1737.2922,-3470.5843,-3457.1856,0.4622,,151.8806,0,0,TRUE,FALSE,2021,2022,primary,6
frank,5999,1667.3602,-3332.7203,-3326.021,0.4699,0.6594,,0,0,TRUE,FALSE,2021,2022,primary,6
gaussian,5999,1737.8648,-3473.7295,-3467.0302,0.4622,0.6462,,0,0,TRUE,TRUE,2021,2022,primary,6
t,7251,2627.4614,-5250.9229,-5237.1451,0.5114,,37.6985,0.0163,0.0163,TRUE,TRUE,2021,2022,primary,5
frank,7251,2617.1713,-5232.3427,-5225.4538,0.5281,0.7264,,0,0,TRUE,FALSE,2021,2022,primary,5
gaussian,7251,2623.1775,-5244.355,-5237.4661,0.51,0.7014,,0,0,TRUE,FALSE,2021,2022,primary,5
t,7594,2653.9783,-5303.9566,-5290.0864,0.5027,,137.9449,0,0,TRUE,FALSE,2021,2022,primary,4
frank,7594,2653.5417,-5305.0834,-5298.1483,0.5197,0.717,,0,0,TRUE,FALSE,2021,2022,primary,4
gaussian,7594,2654.1582,-5306.3163,-5299.3812,0.5023,0.6928,,0,0,TRUE,TRUE,2021,2022,primary,4
t,7176,2499.8973,-4995.7947,-4982.0377,0.5022,,97.5658,1e-04,1e-04,TRUE,FALSE,2021,2022,primary,3
frank,7176,2521.2842,-5040.5684,-5033.6899,0.5206,0.718,,0,0,TRUE,TRUE,2021,2022,primary,3
gaussian,7176,2499.4799,-4996.9598,-4990.0813,0.5016,0.692,,0,0,TRUE,FALSE,2021,2022,primary,3
t,5498,1814.8166,-3625.6332,-3612.409,0.4907,,31.524,0.0217,0.0217,TRUE,TRUE,2022,2023,primary,8
frank,5498,1753.02,-3504.04,-3497.4279,0.5006,0.6954,,0,0,TRUE,FALSE,2022,2023,primary,8
gaussian,5498,1810.3771,-3618.7542,-3612.1421,0.4894,0.6781,,0,0,TRUE,FALSE,2022,2023,primary,8
t,5456,1538.231,-3072.462,-3059.253,0.4576,,39.6478,0.0061,0.0061,TRUE,TRUE,2022,2023,primary,7
