YEAR_T,YEAR_T1,window,GRADE,family,u,p_copula,wida_pl
2021,2022,primary,8,t,0.04,0.0013,1.8
2021,2022,primary,8,t,0.06,0.0018,1.9
2021,2022,primary,8,t,0.08,0.0024,2.1
2021,2022,primary,8,t,0.1,0.0031,2.3
2021,2022,primary,8,t,0.12,0.0038,2.5
2021,2022,primary,8,t,0.14,0.0045,2.6
2021,2022,primary,8,t,0.16,0.0054,2.6
2021,2022,primary,8,t,0.18,0.0062,2.8
2021,2022,primary,8,t,0.2,0.0072,2.9
2021,2022,primary,8,t,0.22,0.0083,2.9
2021,2022,primary,8,t,0.24,0.0094,3
2021,2022,primary,8,t,0.26,0.0106,3
2021,2022,primary,8,t,0.28,0.0119,3.1
2021,2022,primary,8,t,0.3,0.0133,3.1
2021,2022,primary,8,t,0.32,0.0149,3.2
2021,2022,primary,8,t,0.34,0.0166,3.2
2021,2022,primary,8,t,0.36,0.0184,3.3
2021,2022,primary,8,t,0.38,0.0203,3.3
2021,2022,primary,8,t,0.4,0.0224,3.3
2021,2022,primary,8,t,0.42,0.0247,3.4
2021,2022,primary,8,t,0.44,0.0272,3.4
2021,2022,primary,8,t,0.46,0.0298,3.5
2021,2022,primary,8,t,0.48,0.0327,3.5
2021,2022,primary,8,t,0.5,0.0359,3.6
2021,2022,primary,8,t,0.52,0.0393,3.6
2021,2022,primary,8,t,0.54,0.0431,3.6
2021,2022,primary,8,t,0.56,0.0471,3.7
2021,2022,primary,8,t,0.58,0.0516,3.7
2021,2022,primary,8,t,0.6,0.0564,3.7
2021,2022,primary,8,t,0.62,0.0617,3.8
2021,2022,primary,8,t,0.64,0.0676,3.8
2021,2022,primary,8,t,0.66,0.074,3.8
2021,2022,primary,8,t,0.68,0.0811,3.9
2021,2022,primary,8,t,0.7,0.0889,3.9
2021,2022,primary,8,t,0.72,0.0977,3.9
2021,2022,primary,8,t,0.74,0.1074,4
2021,2022,primary,8,t,0.76,0.1184,4
2021,2022,primary,8,t,0.78,0.1308,4.1
2021,2022,primary,8,t,0.8,0.1448,4.1
2021,2022,primary,8,t,0.82,0.161,4.2
2021,2022,primary,8,t,0.84,0.1796,4.2
2021,2022,primary,8,t,0.86,0.2014,4.3
2021,2022,primary,8,t,0.88,0.2274,4.4
2021,2022,primary,8,t,0.9,0.2589,4.5
2021,2022,primary,8,t,0.92,0.2982,4.5
2021,2022,primary,8,t,0.94,0.3494,4.7
2021,2022,primary,8,t,0.96,0.4206,4.8
2021,2022,primary,7,t,0.04,0.0015,1.9
2021,2022,primary,7,t,0.06,0.0021,2
2021,2022,primary,7,t,0.08,0.0028,2.2
2021,2022,primary,7,t,0.1,0.0035,2.4
2021,2022,primary,7,t,0.12,0.0043,2.5
2021,2022,primary,7,t,0.14,0.0051,2.6
2021,2022,primary,7,t,0.16,0.006,2.7
2021,2022,primary,7,t,0.18,0.0069,2.8
2021,2022,primary,7,t,0.2,0.008,2.9
2021,2022,primary,7,t,0.22,0.0091,3
2021,2022,primary,7,t,0.24,0.0103,3
2021,2022,primary,7,t,0.26,0.0116,3.1
2021,2022,primary,7,t,0.28,0.013,3.1
2021,2022,primary,7,t,0.3,0.0144,3.2
2021,2022,primary,7,t,0.32,0.016,3.2
2021,2022,primary,7,t,0.34,0.0178,3.3
2021,2022,primary,7,t,0.36,0.0196,3.3
2021,2022,primary,7,t,0.38,0.0216,3.3
2021,2022,primary,7,t,0.4,0.0237,3.4
2021,2022,primary,7,t,0.42,0.026,3.4
2021,2022,primary,7,t,0.44,0.0285,3.4
2021,2022,primary,7,t,0.46,0.0311,3.5
2021,2022,primary,7,t,0.48,0.034,3.5
2021,2022,primary,7,t,0.5,0.0371,3.5
2021,2022,primary,7,t,0.52,0.0404,3.5
2021,2022,primary,7,t,0.54,0.0441,3.6
2021,2022,primary,7,t,0.56,0.048,3.6
2021,2022,primary,7,t,0.58,0.0523,3.6
2021,2022,primary,7,t,0.6,0.0569,3.7
2021,2022,primary,7,t,0.62,0.062,3.7
2021,2022,primary,7,t,0.64,0.0675,3.7
2021,2022,primary,7,t,0.66,0.0735,3.7
2021,2022,primary,7,t,0.68,0.0802,3.8
2021,2022,primary,7,t,0.7,0.0875,3.8
2021,2022,primary,7,t,0.72,0.0957,3.8
2021,2022,primary,7,t,0.74,0.1047,3.9
2021,2022,primary,7,t,0.76,0.1148,3.9
2021,2022,primary,7,t,0.78,0.1262,4
2021,2022,primary,7,t,0.8,0.139,4
2021,2022,primary,7,t,0.82,0.1537,4
2021,2022,primary,7,t,0.84,0.1706,4.1
2021,2022,primary,7,t,0.86,0.1904,4.2
2021,2022,primary,7,t,0.88,0.2139,4.2
2021,2022,primary,7,t,0.9,0.2423,4.3
2021,2022,primary,7,t,0.92,0.2779,4.4
2021,2022,primary,7,t,0.94,0.3242,4.5
2021,2022,primary,7,t,0.96,0.3893,4.6
2021,2022,primary,6,gaussian,0.04,0.001,1.9
2021,2022,primary,6,gaussian,0.06,0.0018,2.3
2021,2022,primary,6,gaussian,0.08,0.0027,2.6
2021,2022,primary,6,gaussian,0.1,0.0038,2.85
2021,2022,primary,6,gaussian,0.12,0.005,3
2021,2022,primary,6,gaussian,0.14,0.0063,3.2
2021,2022,primary,6,gaussian,0.16,0.0078,3.3
2021,2022,primary,6,gaussian,0.18,0.0094,3.4
2021,2022,primary,6,gaussian,0.2,0.0112,3.4
2021,2022,primary,6,gaussian,0.22,0.0132,3.5
2021,2022,primary,6,gaussian,0.24,0.0153,3.6
2021,2022,primary,6,gaussian,0.26,0.0176,3.6
2021,2022,primary,6,gaussian,0.28,0.02,3.7
2021,2022,primary,6,gaussian,0.3,0.0227,3.7
2021,2022,primary,6,gaussian,0.32,0.0255,3.8
2021,2022,primary,6,gaussian,0.34,0.0286,3.8
2021,2022,primary,6,gaussian,0.36,0.0319,3.9
2021,2022,primary,6,gaussian,0.38,0.0354,3.9
2021,2022,primary,6,gaussian,0.4,0.0391,4
2021,2022,primary,6,gaussian,0.42,0.0432,4
2021,2022,primary,6,gaussian,0.44,0.0475,4
2021,2022,primary,6,gaussian,0.46,0.0521,4.1
2021,2022,primary,6,gaussian,0.48,0.057,4.1
2021,2022,primary,6,gaussian,0.5,0.0623,4.2
2021,2022,primary,6,gaussian,0.52,0.0679,4.2
2021,2022,primary,6,gaussian,0.54,0.074,4.3
2021,2022,primary,6,gaussian,0.56,0.0805,4.3
2021,2022,primary,6,gaussian,0.58,0.0874,4.4
2021,2022,primary,6,gaussian,0.6,0.0949,4.4
2021,2022,primary,6,gaussian,0.62,0.103,4.4
2021,2022,primary,6,gaussian,0.64,0.1117,4.5
2021,2022,primary,6,gaussian,0.66,0.1211,4.5
2021,2022,primary,6,gaussian,0.68,0.1312,4.6
2021,2022,primary,6,gaussian,0.7,0.1422,4.6
2021,2022,primary,6,gaussian,0.72,0.1542,4.6
2021,2022,primary,6,gaussian,0.74,0.1673,4.7
2021,2022,primary,6,gaussian,0.76,0.1817,4.7
2021,2022,primary,6,gaussian,0.78,0.1975,4.8
2021,2022,primary,6,gaussian,0.8,0.2151,4.9
2021,2022,primary,6,gaussian,0.82,0.2347,4.9
2021,2022,primary,6,gaussian,0.84,0.2568,5
2021,2022,primary,6,gaussian,0.86,0.282,5.1
2021,2022,primary,6,gaussian,0.88,0.311,5.2
2021,2022,primary,6,gaussian,0.9,0.3452,5.2
2021,2022,primary,6,gaussian,0.92,0.3864,5.4
2021,2022,primary,6,gaussian,0.94,0.4381,5.5
2021,2022,primary,6,gaussian,0.96,0.5072,5.6
2021,2022,primary,5,t,0.04,0.0026,2
2021,2022,primary,5,t,0.06,0.0042,2.4
2021,2022,primary,5,t,0.08,0.0061,2.7
2021,2022,primary,5,t,0.1,0.0082,2.9
2021,2022,primary,5,t,0.12,0.0105,3
2021,2022,primary,5,t,0.14,0.0131,3.2
2021,2022,primary,5,t,0.16,0.016,3.3
2021,2022,primary,5,t,0.18,0.0191,3.4
2021,2022,primary,5,t,0.2,0.0225,3.5
2021,2022,primary,5,t,0.22,0.0263,3.5
2021,2022,primary,5,t,0.24,0.0303,3.6
2021,2022,primary,5,t,0.26,0.0346,3.6
2021,2022,primary,5,t,0.28,0.0393,3.7
2021,2022,primary,5,t,0.3,0.0444,3.7
2021,2022,primary,5,t,0.32,0.0498,3.8
2021,2022,primary,5,t,0.34,0.0556,3.8
2021,2022,primary,5,t,0.36,0.0619,3.9
2021,2022,primary,5,t,0.38,0.0686,3.9
2021,2022,primary,5,t,0.4,0.0757,4
2021,2022,primary,5,t,0.42,0.0833,4
2021,2022,primary,5,t,0.44,0.0915,4
2021,2022,primary,5,t,0.46,0.1002,4
2021,2022,primary,5,t,0.48,0.1094,4.1
2021,2022,primary,5,t,0.5,0.1193,4.2
2021,2022,primary,5,t,0.52,0.1299,4.2
2021,2022,primary,5,t,0.54,0.1411,4.2
2021,2022,primary,5,t,0.56,0.1531,4.3
2021,2022,primary,5,t,0.58,0.1659,4.3
2021,2022,primary,5,t,0.6,0.1796,4.4
2021,2022,primary,5,t,0.62,0.1942,4.4
2021,2022,primary,5,t,0.64,0.2097,4.5
2021,2022,primary,5,t,0.66,0.2264,4.5
2021,2022,primary,5,t,0.68,0.2442,4.5
2021,2022,primary,5,t,0.7,0.2633,4.6
2021,2022,primary,5,t,0.72,0.2838,4.7
2021,2022,primary,5,t,0.74,0.3058,4.7
2021,2022,primary,5,t,0.76,0.3296,4.7
2021,2022,primary,5,t,0.78,0.3552,4.8
2021,2022,primary,5,t,0.8,0.383,4.9
2021,2022,primary,5,t,0.82,0.4131,4.9
2021,2022,primary,5,t,0.84,0.4461,5
2021,2022,primary,5,t,0.86,0.4822,5.1
2021,2022,primary,5,t,0.88,0.5222,5.2
2021,2022,primary,5,t,0.9,0.5668,5.25
2021,2022,primary,5,t,0.92,0.6173,5.4
2021,2022,primary,5,t,0.94,0.6756,5.5
2021,2022,primary,5,t,0.96,0.745,5.7
2021,2022,primary,4,gaussian,0.04,0.002,1.8
2021,2022,primary,4,gaussian,0.06,0.0037,1.9
2021,2022,primary,4,gaussian,0.08,0.0058,2
2021,2022,primary,4,gaussian,0.1,0.0082,2.2
2021,2022,primary,4,gaussian,0.12,0.0109,2.4
2021,2022,primary,4,gaussian,0.14,0.0139,2.5
2021,2022,primary,4,gaussian,0.16,0.0173,2.6
2021,2022,primary,4,gaussian,0.18,0.021,2.7
2021,2022,primary,4,gaussian,0.2,0.0251,2.8
2021,2022,primary,4,gaussian,0.22,0.0295,2.9
2021,2022,primary,4,gaussian,0.24,0.0342,3
2021,2022,primary,4,gaussian,0.26,0.0393,3.1
2021,2022,primary,4,gaussian,0.28,0.0448,3.1
2021,2022,primary,4,gaussian,0.3,0.0506,3.2
2021,2022,primary,4,gaussian,0.32,0.0569,3.3
2021,2022,primary,4,gaussian,0.34,0.0635,3.3
2021,2022,primary,4,gaussian,0.36,0.0706,3.4
2021,2022,primary,4,gaussian,0.38,0.0781,3.4
2021,2022,primary,4,gaussian,0.4,0.086,3.4
2021,2022,primary,4,gaussian,0.42,0.0945,3.5
2021,2022,primary,4,gaussian,0.44,0.1034,3.5
