cut,n_local,p_local,n_ge,p_ge,YEAR_T,YEAR_T1,window,GRADE
2,207,0,4529,0.0974,2021,2022,primary,8
2.1,147,0,4482,0.0984,2021,2022,primary,8
2.2,158,0,4442,0.0993,2021,2022,primary,8
2.3,178,0,4382,0.1006,2021,2022,primary,8
2.4,190,0.0053,4324,0.102,2021,2022,primary,8
2.5,251,0.004,4264,0.1034,2021,2022,primary,8
2.6,281,0.0036,4192,0.105,2021,2022,primary,8
2.7,308,0.0032,4073,0.108,2021,2022,primary,8
2.8,295,0.0034,3983,0.1105,2021,2022,primary,8
2.9,403,0.005,3884,0.113,2021,2022,primary,8
3,496,0.006,3778,0.1162,2021,2022,primary,8
3.1,608,0.0115,3580,0.1223,2021,2022,primary,8
3.2,668,0.0135,3388,0.1287,2021,2022,primary,8
3.3,726,0.0193,3170,0.1363,2021,2022,primary,8
3.4,730,0.0219,2662,0.1585,2021,2022,primary,8
3.5,783,0.0307,2662,0.1585,2021,2022,primary,8
3.6,809,0.0383,2440,0.1705,2021,2022,primary,8
3.7,831,0.0578,2129,0.1902,2021,2022,primary,8
3.8,789,0.0786,1853,0.211,2021,2022,primary,8
3.9,737,0.1045,1340,0.256,2021,2022,primary,8
4,653,0.124,1340,0.256,2021,2022,primary,8
4.1,575,0.1461,1116,0.2814,2021,2022,primary,8
4.2,469,0.177,956,0.3002,2021,2022,primary,8
4.3,443,0.1828,647,0.357,2021,2022,primary,8
4.4,392,0.2296,647,0.357,2021,2022,primary,8
4.5,348,0.2557,513,0.4016,2021,2022,primary,8
4.6,287,0.2892,373,0.4531,2021,2022,primary,8
4.7,200,0.335,299,0.4749,2021,2022,primary,8
4.8,162,0.3333,173,0.5896,2021,2022,primary,8
4.9,126,0.4127,173,0.5896,2021,2022,primary,8
5,93,0.4839,137,0.6423,2021,2022,primary,8
5.1,77,0.6234,100,0.71,2021,2022,primary,8
5.2,52,0.6923,80,0.7125,2021,2022,primary,8
5.3,47,0.6809,48,,2021,2022,primary,8
5.4,30,0.5667,48,,2021,2022,primary,8
5.5,25,0.68,33,,2021,2022,primary,8
2,215,0,4832,0.0917,2021,2022,primary,7
2.1,161,0,4773,0.0928,2021,2022,primary,7
2.2,176,0,4716,0.0939,2021,2022,primary,7
2.3,186,0.0054,4671,0.0948,2021,2022,primary,7
