YEAR_T,YEAR_T1,window,GRADE,n,family,v_star,p_never_el_proficient,copula_u_star,copula_cut,copula_reached,copula_p_at_cut,empirical_local_cut,empirical_cumulative_cut,p_ge_4.3,p_ge_5.0,p_local_4.3,p_local_5.0
2021,2022,primary,8,4846,t,0.909,0.4565,0.9747,5,TRUE,0.4973,5.1,4.8,0.3386,0.6423,0.1828,0.4839
2021,2022,primary,7,5080,t,0.9128,0.4513,,,FALSE,0.4953,4.8,4.6,0.3842,0.6618,0.1973,0.5424
2021,2022,primary,6,5999,gaussian,0.8746,0.4147,0.9581,5.6,TRUE,0.4994,,5.5,0.2452,0.3919,0.0877,0.2398
2021,2022,primary,5,7251,t,0.7913,0.4371,0.8691,5.1,TRUE,0.5,5.1,4.7,0.4015,0.6111,0.152,0.4728
2021,2022,primary,4,7594,gaussian,0.783,0.4375,0.8648,4.5,TRUE,0.4999,4.5,3.9,0.6084,0.8216,0.4575,0.7783
2021,2022,primary,3,7176,frank,0.7717,0.4301,0.8166,4.1,TRUE,0.5,4.2,3.7,0.7314,0.88,0.5918,0.844
2022,2023,primary,8,5498,t,0.8954,0.4639,0.9622,4.8,TRUE,0.499,4.9,4.7,0.3895,0.6045,0.2495,0.48
2022,2023,primary,7,5456,t,0.9249,0.4194,,,FALSE,0.4653,5,4.8,0.2904,0.6182,0.1754,0.549
2022,2023,primary,5,7987,t,0.7967,0.4284,0.8679,5.2,TRUE,0.4999,5.3,4.7,0.3829,0.5929,0.1212,0.3889
2022,2023,primary,6,6577,t,0.8575,0.4329,0.9359,5.6,TRUE,0.4995,,5.3,0.269,0.4296,0.0962,0.2619
2022,2023,primary,4,7747,frank,0.7803,0.4263,0.82,4.3,TRUE,0.5,4.4,3.9,0.6403,0.8483,0.473,0.7406
2022,2023,primary,3,7759,frank,0.7973,0.4195,0.8423,4,TRUE,0.5,4.2,3.7,0.7547,0.9115,0.6123,0.8817
2023,2024,primary,8,5924,t,0.8798,0.4528,0.949,4.6,TRUE,0.4997,4.8,4.3,0.4599,0.7593,0.2763,0.7143
2023,2024,primary,7,5838,t,0.9046,0.445,0.9731,4.7,TRUE,0.4978,4.8,4.6,0.4018,0.64,0.2637,0.6481
2023,2024,primary,6,6945,frank,0.8474,0.4379,0.9388,5.4,TRUE,0.5,,5.2,0.2964,0.4742,0.1143,0.338
2023,2024,primary,5,8070,frank,0.7918,0.4307,0.8347,5,TRUE,0.5,5.2,4.7,0.3977,0.6105,0.1538,0.419
2023,2024,primary,4,8383,frank,0.7669,0.4436,0.7982,4.2,TRUE,0.5,4.4,3.9,0.6769,0.8677,0.4917,0.8199
2023,2024,primary,3,7923,frank,0.7955,0.4099,0.8418,4,TRUE,0.5,4.1,3.7,0.7383,0.9328,0.6166,0.8681
2024,2025,primary,8,6468,frank,0.8782,0.4561,,,FALSE,0.4623,4.8,4.5,0.4133,0.7083,0.2374,0.6077
2024,2025,primary,7,6563,frank,0.924,0.4087,,,FALSE,0.3019,5,4.8,0.3305,0.6235,0.2198,0.5119
2024,2025,primary,6,7355,frank,0.8571,0.4336,0.959,5.6,TRUE,0.5,,5.2,0.2924,0.4656,0.1149,0.3262
2024,2025,primary,5,8828,frank,0.7962,0.4396,0.8403,5,TRUE,0.5,5.2,4.6,0.4108,0.6398,0.1494,0.4558
2024,2025,primary,4,8642,frank,0.7833,0.4431,0.8273,4.3,TRUE,0.5,4.5,3.9,0.6484,0.8632,0.4563,0.8107
2024,2025,primary,3,8784,frank,0.7927,0.4297,0.8427,4.1,TRUE,0.5,4.2,3.8,0.7157,0.879,0.5704,0.8521
