YEAR_T,YEAR_T1,window,GRADE,n,method,wida_cut,reached
2021,2022,primary,8,4846,copula,5,TRUE
2021,2022,primary,7,5080,copula,,FALSE
2021,2022,primary,6,5999,copula,5.6,TRUE
2021,2022,primary,5,7251,copula,5.1,TRUE
2021,2022,primary,4,7594,copula,4.5,TRUE
2021,2022,primary,3,7176,copula,4.1,TRUE
2022,2023,primary,8,5498,copula,4.8,TRUE
2022,2023,primary,7,5456,copula,,FALSE
2022,2023,primary,5,7987,copula,5.2,TRUE
2022,2023,primary,6,6577,copula,5.6,TRUE
2022,2023,primary,4,7747,copula,4.3,TRUE
2022,2023,primary,3,7759,copula,4,TRUE
2023,2024,primary,8,5924,copula,4.6,TRUE
2023,2024,primary,7,5838,copula,4.7,TRUE
2023,2024,primary,6,6945,copula,5.4,TRUE
2023,2024,primary,5,8070,copula,5,TRUE
2023,2024,primary,4,8383,copula,4.2,TRUE
2023,2024,primary,3,7923,copula,4,TRUE
2024,2025,primary,8,6468,copula,,FALSE
2024,2025,primary,7,6563,copula,,FALSE
2024,2025,primary,6,7355,copula,5.6,TRUE
2024,2025,primary,5,8828,copula,5,TRUE
2024,2025,primary,4,8642,copula,4.3,TRUE
2024,2025,primary,3,8784,copula,4.1,TRUE
2021,2022,primary,8,4846,empirical_local,5.1,TRUE
2021,2022,primary,7,5080,empirical_local,4.8,TRUE
2021,2022,primary,6,5999,empirical_local,,FALSE
2021,2022,primary,5,7251,empirical_local,5.1,TRUE
2021,2022,primary,4,7594,empirical_local,4.5,TRUE
2021,2022,primary,3,7176,empirical_local,4.2,TRUE
2022,2023,primary,8,5498,empirical_local,4.9,TRUE
2022,2023,primary,7,5456,empirical_local,5,TRUE
2022,2023,primary,5,7987,empirical_local,5.3,TRUE
2022,2023,primary,6,6577,empirical_local,,FALSE
2022,2023,primary,4,7747,empirical_local,4.4,TRUE
2022,2023,primary,3,7759,empirical_local,4.2,TRUE
2023,2024,primary,8,5924,empirical_local,4.8,TRUE
2023,2024,primary,7,5838,empirical_local,4.8,TRUE
2023,2024,primary,6,6945,empirical_local,,FALSE
2023,2024,primary,5,8070,empirical_local,5.2,TRUE
2023,2024,primary,4,8383,empirical_local,4.4,TRUE
2023,2024,primary,3,7923,empirical_local,4.1,TRUE
2024,2025,primary,8,6468,empirical_local,4.8,TRUE
2024,2025,primary,7,6563,empirical_local,5,TRUE
2024,2025,primary,6,7355,empirical_local,,FALSE
2024,2025,primary,5,8828,empirical_local,5.2,TRUE
2024,2025,primary,4,8642,empirical_local,4.5,TRUE
2024,2025,primary,3,8784,empirical_local,4.2,TRUE
2021,2022,primary,8,4846,empirical_cumulative,4.8,TRUE
2021,2022,primary,7,5080,empirical_cumulative,4.6,TRUE
2021,2022,primary,6,5999,empirical_cumulative,5.5,TRUE
2021,2022,primary,5,7251,empirical_cumulative,4.7,TRUE
2021,2022,primary,4,7594,empirical_cumulative,3.9,TRUE
2021,2022,primary,3,7176,empirical_cumulative,3.7,TRUE
2022,2023,primary,8,5498,empirical_cumulative,4.7,TRUE
2022,2023,primary,7,5456,empirical_cumulative,4.8,TRUE
2022,2023,primary,5,7987,empirical_cumulative,4.7,TRUE
2022,2023,primary,6,6577,empirical_cumulative,5.3,TRUE
2022,2023,primary,4,7747,empirical_cumulative,3.9,TRUE
2022,2023,primary,3,7759,empirical_cumulative,3.7,TRUE
2023,2024,primary,8,5924,empirical_cumulative,4.3,TRUE
2023,2024,primary,7,5838,empirical_cumulative,4.6,TRUE
2023,2024,primary,6,6945,empirical_cumulative,5.2,TRUE
2023,2024,primary,5,8070,empirical_cumulative,4.7,TRUE
2023,2024,primary,4,8383,empirical_cumulative,3.9,TRUE
2023,2024,primary,3,7923,empirical_cumulative,3.7,TRUE
2024,2025,primary,8,6468,empirical_cumulative,4.5,TRUE
2024,2025,primary,7,6563,empirical_cumulative,4.8,TRUE
2024,2025,primary,6,7355,empirical_cumulative,5.2,TRUE
2024,2025,primary,5,8828,empirical_cumulative,4.6,TRUE
2024,2025,primary,4,8642,empirical_cumulative,3.9,TRUE
2024,2025,primary,3,8784,empirical_cumulative,3.8,TRUE
