YEAR_T,YEAR_T1,window,GRADE,N,suppress
2021,2022,primary,3,7176,FALSE
2021,2022,primary,4,7594,FALSE
2021,2022,primary,5,7251,FALSE
2021,2022,primary,6,5999,FALSE
2021,2022,primary,7,5080,FALSE
2021,2022,primary,8,4846,FALSE
2022,2023,primary,3,7759,FALSE
2022,2023,primary,4,7747,FALSE
2022,2023,primary,5,7987,FALSE
2022,2023,primary,6,6577,FALSE
2022,2023,primary,7,5456,FALSE
2022,2023,primary,8,5498,FALSE
2023,2024,primary,3,7923,FALSE
2023,2024,primary,4,8383,FALSE
2023,2024,primary,5,8070,FALSE
2023,2024,primary,6,6945,FALSE
2023,2024,primary,7,5838,FALSE
2023,2024,primary,8,5924,FALSE
2024,2025,primary,3,8784,FALSE
2024,2025,primary,4,8642,FALSE
2024,2025,primary,5,8828,FALSE
2024,2025,primary,6,7355,FALSE
2024,2025,primary,7,6563,FALSE
2024,2025,primary,8,6468,FALSE
2025,2026,ranks_only,3,8988,FALSE
2025,2026,ranks_only,4,8729,FALSE
2025,2026,ranks_only,5,8717,FALSE
2025,2026,ranks_only,6,7682,FALSE
2025,2026,ranks_only,7,6508,FALSE
2025,2026,ranks_only,8,7037,FALSE
