YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,ilearn_pctile_sd,ilearn_floor_share,p_ilearn_proficient,suppress
2017,3,WIDA Level 1,231,0.14,7.9026,12.9982,0.3463,0,FALSE
2017,3,WIDA Level 2,905,0.1852,18.8102,19.0637,0.1547,0.0077,FALSE
2017,3,WIDA Level 3,2868,0.2497,47.0825,24.8126,0.0202,0.0896,FALSE
2017,3,WIDA Level 4,792,0.1085,69.2308,21.6295,0.0025,0.2298,FALSE
2017,3,WIDA Level 4.3,808,0.1393,82.4251,18.5188,0,0.4604,FALSE
2017,3,WIDA Level 5,101,0.1384,93.7883,13.1874,0,0.7525,FALSE
2017,4,WIDA Level 1,49,,,,,,TRUE
2017,4,WIDA Level 2,226,0.096,14.0038,17.1944,0.2035,0,FALSE
2017,4,WIDA Level 3,1420,0.1964,35.7436,24.1498,0.0577,0.0099,FALSE
2017,4,WIDA Level 4,602,0.0866,60.8462,23.799,0.01,0.0349,FALSE
2017,4,WIDA Level 4.3,740,0.1712,75.6552,21.4747,0,0.1149,FALSE
2017,4,WIDA Level 5,120,0.1443,92.9271,13.3339,0,0.3833,FALSE
2017,5,WIDA Level 1,64,0.0756,5.9291,12.6662,0.4531,0,FALSE
2017,5,WIDA Level 2,217,0.0929,17.8729,17.1361,0.1659,0,FALSE
2017,5,WIDA Level 3,873,0.2076,39.78,23.6631,0.0401,0.0011,FALSE
2017,5,WIDA Level 4,340,0.0377,60.6601,23.5229,0.0029,0.0294,FALSE
2017,5,WIDA Level 4.3,461,0.217,76.6748,21.7465,0.0043,0.0824,FALSE
2017,5,WIDA Level 5,82,0.3693,94.4743,10.6342,0,0.4634,FALSE
2017,6,WIDA Level 1,96,-0.0114,10.2148,17.5276,0.2917,0,FALSE
2017,6,WIDA Level 2,457,0.2129,24.8298,21.4022,0.1204,0,FALSE
2017,6,WIDA Level 3,966,0.2453,52.8549,24.3444,0.0114,0.0145,FALSE
2017,6,WIDA Level 4,193,0.1321,80.0419,21.9387,0.0052,0.1399,FALSE
2017,6,WIDA Level 4.3,169,0.1812,86.0136,17.4135,0.0059,0.1716,FALSE
2017,6,WIDA Level 5,26,,,,,,TRUE
2017,7,WIDA Level 1,157,0.2353,6.9035,10.6282,0.4204,0,FALSE
2017,7,WIDA Level 2,444,0.1801,21.1748,19.8836,0.0991,0,FALSE
2017,7,WIDA Level 3,1115,0.1974,49.7578,23.3567,0.0108,0.0135,FALSE
2017,7,WIDA Level 4,382,0.1017,71.4372,21.5462,0,0.0733,FALSE
2017,7,WIDA Level 4.3,328,0.18,82.1155,20.869,0.003,0.1768,FALSE
2017,7,WIDA Level 5,46,,,,,,TRUE
2017,8,WIDA Level 1,144,0.1378,8.265,17.2655,0.3333,0,FALSE
2017,8,WIDA Level 2,418,0.1872,22.7851,20.524,0.1268,0.0072,FALSE
2017,8,WIDA Level 3,1013,0.2256,45.8778,24.3405,0.0188,0.0128,FALSE
2017,8,WIDA Level 4,397,0.0621,66.694,22.2385,0,0.0378,FALSE
2017,8,WIDA Level 4.3,414,0.1033,78.9992,18.8939,0,0.1014,FALSE
