YEAR,GRADE,YEAR_STRATUM,u_break,wida_pl_at_break,slope_left,slope_right,method
2018,7,istep_contrast,0.675,3.8,-0.1298,0.6748,grid
2019,8,ilearn_2019,0.755,4.1,-0.1583,1.1194,grid
2017,8,istep_contrast,0.195,2.8,-1.3626,5e-04,grid
2018,8,istep_contrast,0.535,3.7,-0.2411,0.2259,grid
2017,7,istep_contrast,0.415,3.5,-0.5505,0.1679,grid
2017,6,istep_contrast,0.695,3.8,-0.1184,0.5732,grid
2019,6,ilearn_2019,0.735,4,-0.1269,0.5531,grid
2021,8,primary,0.675,3.8,-0.1302,0.5008,grid
2017,5,istep_contrast,0.695,4.2,-0.1757,0.8621,grid
2018,6,istep_contrast,0.755,3.9,-0.1169,1.4194,grid
2019,7,ilearn_2019,0.635,3.8,-0.1389,0.6315,grid
2017,4,istep_contrast,0.215,3.5,-1.2263,0.1311,grid
2018,5,istep_contrast,0.355,3.8,-0.577,0.1516,grid
2017,3,istep_contrast,0.335,3.4,-0.5272,0.0904,grid
2018,4,istep_contrast,0.195,3.6,-1.8181,0.0409,grid
2019,5,ilearn_2019,0.235,3.8,-1.1781,0.0372,grid
2021,7,primary,0.595,3.7,-0.2583,0.3299,grid
2022,8,primary,0.455,3.5,-0.2904,0.1429,grid
2018,3,istep_contrast,0.795,4.3,-0.11,1.2718,grid
2019,4,ilearn_2019,0.455,4.3,-0.3347,0.1749,grid
2021,6,primary,0.455,3.4,-0.3628,0.1761,grid
2022,7,primary,0.715,3.9,-0.1615,0.682,grid
2023,8,primary,0.515,3.5,-0.2791,0.1905,grid
2024,7,primary,0.675,3.8,-0.1276,0.3449,grid
2025,8,primary,0.175,2.1,0.5481,0.0278,grid
2022,6,primary,0.415,3.4,-0.4456,0.1505,grid
2023,7,primary,0.555,3.6,-0.2186,0.2878,grid
2024,8,primary,0.815,4.3,-0.0914,1.421,grid
2019,3,ilearn_2019,0.595,4,-0.1717,0.3578,grid
2021,5,primary,0.435,4,-0.4037,0.1763,grid
2021,4,primary,0.375,3.9,-0.2588,0.0926,grid
2023,6,primary,0.815,4,-0.1341,1.4945,grid
2022,5,primary,0.655,4.5,-0.2271,0.4411,grid
2021,3,primary,0.795,4.2,-0.0448,1.2547,grid
2022,4,primary,0.795,4.9,-0.0939,1.2524,grid
2023,5,primary,0.795,4.8,-0.1374,0.893,grid
2024,6,primary,0.815,4.1,-0.0631,0.882,grid
2025,7,primary,0.715,3.9,0.0146,0.4536,grid
2026,8,ilearn_2026,0.775,4.3,-0.1131,0.6643,grid
2024,5,primary,0.815,4.9,-0.1018,0.9446,grid
2022,3,primary,0.775,4.2,-0.0145,0.6506,grid
2023,4,primary,0.675,4.6,-0.0649,0.2969,grid
2025,6,primary,0.695,3.8,-0.0367,0.4141,grid
2026,7,ilearn_2026,0.795,4.2,-0.1034,1.203,grid
2024,4,primary,0.715,4.6,-0.0546,0.4849,grid
2025,5,primary,0.175,2.6,0.6341,-0.0077,grid
2026,6,ilearn_2026,0.735,4,-0.1265,0.3907,grid
2023,3,primary,0.755,4.1,-0.0206,0.6325,grid
2024,3,primary,0.815,4.3,0.0069,0.9724,grid
2025,4,primary,0.215,3.1,0.563,0.0334,grid
2026,5,ilearn_2026,0.815,4.9,-0.1102,0.7156,grid
2025,3,primary,0.815,4.3,0.0051,1.0463,grid
2026,4,ilearn_2026,0.715,4.8,-0.1589,0.5819,grid
2026,3,ilearn_2026,0.655,4,-0.1001,0.3211,grid
