u_center,n,tau,YEAR,GRADE,YEAR_STRATUM
0.075,361,0.2098,2018,7,istep_contrast
0.095,370,0.1529,2018,7,istep_contrast
0.115,367,0.1447,2018,7,istep_contrast
0.135,360,0.1283,2018,7,istep_contrast
0.155,370,0.1458,2018,7,istep_contrast
0.175,366,0.162,2018,7,istep_contrast
0.195,371,0.1284,2018,7,istep_contrast
0.215,367,0.1838,2018,7,istep_contrast
0.235,360,0.183,2018,7,istep_contrast
0.255,367,0.1649,2018,7,istep_contrast
0.275,372,0.1581,2018,7,istep_contrast
0.295,359,0.155,2018,7,istep_contrast
0.315,357,0.1049,2018,7,istep_contrast
0.335,363,0.07,2018,7,istep_contrast
0.355,369,0.0243,2018,7,istep_contrast
0.375,366,0.0817,2018,7,istep_contrast
0.395,360,0.022,2018,7,istep_contrast
0.415,367,0.0498,2018,7,istep_contrast
0.435,356,0.0883,2018,7,istep_contrast
0.455,374,0.1225,2018,7,istep_contrast
0.475,382,0.1395,2018,7,istep_contrast
0.495,343,0.1026,2018,7,istep_contrast
0.515,377,0.1079,2018,7,istep_contrast
0.535,359,0.1094,2018,7,istep_contrast
0.555,363,0.1301,2018,7,istep_contrast
0.575,399,0.1157,2018,7,istep_contrast
0.595,372,0.0978,2018,7,istep_contrast
0.615,347,0.128,2018,7,istep_contrast
0.635,361,0.126,2018,7,istep_contrast
0.655,387,0.0915,2018,7,istep_contrast
0.675,348,0.0494,2018,7,istep_contrast
0.695,357,0.0415,2018,7,istep_contrast
0.715,365,0.0378,2018,7,istep_contrast
0.735,382,0.0927,2018,7,istep_contrast
0.755,359,0.1091,2018,7,istep_contrast
0.775,377,0.2176,2018,7,istep_contrast
0.795,362,0.2674,2018,7,istep_contrast
0.815,375,0.2702,2018,7,istep_contrast
0.835,379,0.2246,2018,7,istep_contrast
0.855,370,0.2035,2018,7,istep_contrast
0.875,356,0.1487,2018,7,istep_contrast
0.895,360,0.164,2018,7,istep_contrast
0.915,362,0.2193,2018,7,istep_contrast
0.075,405,0.1872,2019,8,ilearn_2019
0.095,397,0.2047,2019,8,ilearn_2019
0.115,404,0.1786,2019,8,ilearn_2019
0.135,402,0.1887,2019,8,ilearn_2019
0.155,402,0.1915,2019,8,ilearn_2019
0.175,407,0.1746,2019,8,ilearn_2019
0.195,394,0.1573,2019,8,ilearn_2019
0.215,408,0.1071,2019,8,ilearn_2019
0.235,421,0.1255,2019,8,ilearn_2019
0.255,397,0.108,2019,8,ilearn_2019
0.275,397,0.0647,2019,8,ilearn_2019
0.295,423,0.0846,2019,8,ilearn_2019
0.315,416,0.0934,2019,8,ilearn_2019
0.335,417,0.1117,2019,8,ilearn_2019
0.355,396,0.0632,2019,8,ilearn_2019
0.375,404,0.0436,2019,8,ilearn_2019
0.395,410,0.1032,2019,8,ilearn_2019
0.415,414,0.1749,2019,8,ilearn_2019
0.435,381,0.1747,2019,8,ilearn_2019
0.455,394,0.1658,2019,8,ilearn_2019
0.475,413,0.1808,2019,8,ilearn_2019
0.495,414,0.1369,2019,8,ilearn_2019
0.515,409,0.0606,2019,8,ilearn_2019
0.535,406,0.0362,2019,8,ilearn_2019
0.555,399,0.025,2019,8,ilearn_2019
0.575,430,0.0275,2019,8,ilearn_2019
0.595,403,0.015,2019,8,ilearn_2019
0.615,407,0.0429,2019,8,ilearn_2019
0.635,428,0.1073,2019,8,ilearn_2019
0.655,398,0.105,2019,8,ilearn_2019
0.675,413,0.1226,2019,8,ilearn_2019
0.695,414,0.0823,2019,8,ilearn_2019
0.715,393,0.1031,2019,8,ilearn_2019
0.735,429,0.0695,2019,8,ilearn_2019
0.755,404,0.0537,2019,8,ilearn_2019
0.775,395,0.0733,2019,8,ilearn_2019
0.795,417,0.1112,2019,8,ilearn_2019
0.815,408,0.1347,2019,8,ilearn_2019
0.835,385,0.1491,2019,8,ilearn_2019
0.855,406,0.1877,2019,8,ilearn_2019
0.875,409,0.2064,2019,8,ilearn_2019
0.895,423,0.1854,2019,8,ilearn_2019
0.915,401,0.2321,2019,8,ilearn_2019
0.075,370,0.2296,2017,8,istep_contrast
0.095,360,0.2347,2017,8,istep_contrast
0.115,367,0.1917,2017,8,istep_contrast
0.135,375,0.1871,2017,8,istep_contrast
0.155,365,0.1404,2017,8,istep_contrast
0.175,374,0.0949,2017,8,istep_contrast
0.195,362,0.088,2017,8,istep_contrast
0.215,377,0.1006,2017,8,istep_contrast
0.235,362,0.0717,2017,8,istep_contrast
0.255,368,0.0861,2017,8,istep_contrast
0.275,378,0.1033,2017,8,istep_contrast
0.295,373,0.0812,2017,8,istep_contrast
0.315,374,0.0999,2017,8,istep_contrast
0.335,366,0.0916,2017,8,istep_contrast
0.355,353,0.0616,2017,8,istep_contrast
0.375,366,0.1149,2017,8,istep_contrast
0.395,376,0.083,2017,8,istep_contrast
0.415,381,0.1307,2017,8,istep_contrast
0.435,346,0.0778,2017,8,istep_contrast
0.455,373,0.0718,2017,8,istep_contrast
0.475,351,0.0675,2017,8,istep_contrast
0.495,364,0.0805,2017,8,istep_contrast
0.515,356,0.077,2017,8,istep_contrast
0.535,378,0.0825,2017,8,istep_contrast
0.555,358,0.1095,2017,8,istep_contrast
0.575,344,0.0519,2017,8,istep_contrast
0.595,360,0.0858,2017,8,istep_contrast
0.615,387,0.0891,2017,8,istep_contrast
0.635,357,0.0793,2017,8,istep_contrast
0.655,357,0.0578,2017,8,istep_contrast
0.675,357,0.0464,2017,8,istep_contrast
0.695,366,0.0033,2017,8,istep_contrast
0.715,359,0.0117,2017,8,istep_contrast
0.735,346,0.078,2017,8,istep_contrast
0.755,383,0.1337,2017,8,istep_contrast
0.775,359,0.1442,2017,8,istep_contrast
0.795,363,0.1309,2017,8,istep_contrast
0.815,350,0.1179,2017,8,istep_contrast
0.835,345,0.0602,2017,8,istep_contrast
0.855,363,0.0646,2017,8,istep_contrast
0.875,377,0.0513,2017,8,istep_contrast
0.895,359,0.087,2017,8,istep_contrast
0.915,356,0.163,2017,8,istep_contrast
0.075,422,0.1907,2018,8,istep_contrast
0.095,426,0.1693,2018,8,istep_contrast
0.115,426,0.1813,2018,8,istep_contrast
0.135,435,0.1803,2018,8,istep_contrast
0.155,423,0.1488,2018,8,istep_contrast
0.175,423,0.1419,2018,8,istep_contrast
0.195,441,0.1486,2018,8,istep_contrast
