cut,n_below,n_above,tau_below,tau_above,tau_gap,ilearn_prof_below,ilearn_prof_above,ilearn_pctile_below,ilearn_pctile_above,YEAR,GRADE,YEAR_STRATUM
2,226,2216,0.1715,0.5438,0.3723,0,0.0736,9.1281,54.7073,2018,7,istep_contrast
2.1,254,2188,0.175,0.5393,0.3644,0,0.0745,9.7319,54.7073,2018,7,istep_contrast
2.2,285,2157,0.1735,0.5348,0.3613,0,0.0756,10.2947,55.526,2018,7,istep_contrast
2.3,314,2128,0.1992,0.5312,0.332,0,0.0766,11.5023,56.14,2018,7,istep_contrast
2.4,375,2067,0.1993,0.5209,0.3216,0,0.0789,12.7302,57.675,2018,7,istep_contrast
2.5,419,2023,0.2021,0.5127,0.3106,0,0.0806,13.6717,58.4732,2018,7,istep_contrast
2.6,465,1977,0.2422,0.5051,0.2628,0,0.0824,14.5722,59.2919,2018,7,istep_contrast
2.7,524,1918,0.2649,0.4961,0.2311,0,0.085,15.8412,60.0082,2018,7,istep_contrast
2.8,589,1853,0.2697,0.4851,0.2155,0.0017,0.0874,16.6598,61.5023,2018,7,istep_contrast
2.9,645,1797,0.2776,0.476,0.1984,0.0016,0.0902,17.7036,62.3209,2018,7,istep_contrast
3,705,1737,0.307,0.4698,0.1628,0.0014,0.0933,18.6246,63.7126,2018,7,istep_contrast
3.1,814,1628,0.3352,0.4645,0.1293,0.0037,0.0983,20.7736,65.7593,2018,7,istep_contrast
3.2,907,1535,0.3617,0.4607,0.099,0.0033,0.1042,22.2268,67.3352,2018,7,istep_contrast
3.3,992,1450,0.365,0.4511,0.0861,0.004,0.1097,23.5571,68.2358,2018,7,istep_contrast
3.4,1180,1262,0.375,0.4314,0.0564,0.0051,0.1244,26.3406,71.5718,2018,7,istep_contrast
3.5,1180,1262,0.375,0.4314,0.0564,0.0051,0.1244,26.3406,71.5718,2018,7,istep_contrast
3.6,1300,1142,0.3961,0.4202,0.0242,0.0054,0.1366,28.7352,73.7413,2018,7,istep_contrast
3.7,1409,1033,0.4109,0.4087,-0.0022,0.0057,0.15,30.9865,75.9926,2018,7,istep_contrast
3.8,1543,899,0.4314,0.4084,-0.023,0.0058,0.1713,32.8694,78.1007,2018,7,istep_contrast
3.9,1796,646,0.463,0.4063,-0.0567,0.0095,0.226,37.8633,82.2964,2018,7,istep_contrast
4,1796,646,0.463,0.4063,-0.0567,0.0095,0.226,37.8633,82.2964,2018,7,istep_contrast
