YEAR,GRADE,n_total,n_el,n_never_el,n_el_unknown
2016,3,85400,0,0,85400
2016,4,82977,0,0,82977
2016,5,81923,0,0,81923
2016,6,82981,0,0,82981
2016,7,80859,0,0,80859
2016,8,82085,0,0,82085
2017,3,85176,0,0,85176
2017,4,84224,0,0,84224
2017,5,83418,0,0,83418
2017,6,81943,0,0,81943
2017,7,82813,0,0,82813
2017,8,80754,0,0,80754
2018,3,83500,0,0,83500
2018,4,85237,0,0,85237
2018,5,85171,0,0,85171
2018,6,83810,0,0,83810
2018,7,82277,0,0,82277
2018,8,82992,0,0,82992
2019,3,83072,7511,74406,1155
2019,4,84147,7197,75957,993
2019,5,86381,5540,79871,970
2019,6,85832,3459,81422,951
2019,7,84590,2771,80890,929
2019,8,82991,2604,79542,845
2021,3,79376,7751,70376,1249
2021,4,78964,7365,70434,1165
2021,5,80278,6081,73121,1076
2021,6,81590,5188,75391,1011
2021,7,83006,4943,77107,956
2021,8,82601,3795,77869,937
2022,3,79912,7696,70989,1227
2022,4,81000,7885,71980,1135
2022,5,81100,6479,73518,1103
2022,6,82179,5450,75602,1127
2022,7,83344,5433,76792,1119
2022,8,84989,5111,78718,1160
2023,3,82145,8153,73992,0
2023,4,80453,7869,72584,0
2023,5,81840,6827,75013,0
2023,6,81611,5762,75849,0
2023,7,82341,5805,76536,0
2023,8,83571,5705,77866,0
2024,3,81779,8560,73219,0
2024,4,82893,8703,74190,0
2024,5,81242,7215,74027,0
2024,6,82558,6452,76106,0
2024,7,82151,6292,75859,0
2024,8,83001,6388,76613,0
2025,3,84260,9447,74811,2
2025,4,82139,8957,73179,3
2025,5,83393,7934,75457,2
2025,6,81789,6742,75045,2
2025,7,82843,7164,75676,3
2025,8,82447,6928,75518,1
2026,3,83739,0,0,83739
2026,4,81274,0,0,81274
2026,5,82124,0,0,82124
2026,6,83208,0,0,83208
2026,7,81558,0,0,81558
2026,8,82741,0,0,82741
