YEAR,GRADE,WIDA_BAND,N,ilearn_prof_rate,suppress
2017,3,<4.0,4004,0.066,FALSE
2017,3,4.0-4.2,792,0.23,FALSE
2017,3,4.3-4.9 (provisional),808,0.46,FALSE
2017,3,>=5.0 (auto-exit),102,0.755,FALSE
2017,4,<4.0,1695,0.008,FALSE
2017,4,4.0-4.2,602,0.035,FALSE
2017,4,4.3-4.9 (provisional),740,0.115,FALSE
2017,4,>=5.0 (auto-exit),129,0.426,FALSE
2017,5,<4.0,1154,0.001,FALSE
2017,5,4.0-4.2,340,0.029,FALSE
2017,5,4.3-4.9 (provisional),461,0.082,FALSE
2017,5,>=5.0 (auto-exit),89,0.494,FALSE
2017,6,<4.0,1519,0.009,FALSE
2017,6,4.0-4.2,193,0.14,FALSE
2017,6,4.3-4.9 (provisional),169,0.172,FALSE
2017,6,>=5.0 (auto-exit),27,0.741,FALSE
2017,7,<4.0,1716,0.009,FALSE
2017,7,4.0-4.2,382,0.073,FALSE
2017,7,4.3-4.9 (provisional),328,0.177,FALSE
2017,7,>=5.0 (auto-exit),50,0.52,FALSE
2017,8,<4.0,1575,0.01,FALSE
2017,8,4.0-4.2,397,0.038,FALSE
2017,8,4.3-4.9 (provisional),414,0.101,FALSE
2017,8,>=5.0 (auto-exit),51,0.569,FALSE
2018,3,<4.0,4471,0.046,FALSE
2018,3,4.0-4.2,1039,0.258,FALSE
2018,3,4.3-4.9 (provisional),1360,0.505,FALSE
2018,3,>=5.0 (auto-exit),251,0.841,FALSE
2018,4,<4.0,2067,0.008,FALSE
2018,4,4.0-4.2,961,0.034,FALSE
2018,4,4.3-4.9 (provisional),2153,0.139,FALSE
2018,4,>=5.0 (auto-exit),1058,0.484,FALSE
2018,5,<4.0,1549,0.006,FALSE
2018,5,4.0-4.2,549,0.016,FALSE
2018,5,4.3-4.9 (provisional),1081,0.079,FALSE
2018,5,>=5.0 (auto-exit),486,0.34,FALSE
2018,6,<4.0,1960,0.01,FALSE
2018,6,4.0-4.2,284,0.099,FALSE
2018,6,4.3-4.9 (provisional),282,0.262,FALSE
2018,6,>=5.0 (auto-exit),41,0.732,FALSE
2018,7,<4.0,1796,0.009,FALSE
2018,7,4.0-4.2,285,0.074,FALSE
2018,7,4.3-4.9 (provisional),300,0.263,FALSE
2018,7,>=5.0 (auto-exit),61,0.754,FALSE
2018,8,<4.0,1885,0.01,FALSE
2018,8,4.0-4.2,422,0.081,FALSE
2018,8,4.3-4.9 (provisional),473,0.197,FALSE
2018,8,>=5.0 (auto-exit),82,0.585,FALSE
2019,3,<4.0,4528,0.065,FALSE
2019,3,4.0-4.2,1066,0.271,FALSE
2019,3,4.3-4.9 (provisional),1644,0.577,FALSE
2019,3,>=5.0 (auto-exit),435,0.855,FALSE
2019,4,<4.0,2235,0.01,FALSE
2019,4,4.0-4.2,1062,0.056,FALSE
2019,4,4.3-4.9 (provisional),2619,0.198,FALSE
2019,4,>=5.0 (auto-exit),1418,0.587,FALSE
2019,5,<4.0,1748,0.007,FALSE
2019,5,4.0-4.2,859,0.029,FALSE
2019,5,4.3-4.9 (provisional),2063,0.139,FALSE
2019,5,>=5.0 (auto-exit),972,0.412,FALSE
2019,6,<4.0,2575,0.017,FALSE
2019,6,4.0-4.2,555,0.103,FALSE
2019,6,4.3-4.9 (provisional),420,0.264,FALSE
2019,6,>=5.0 (auto-exit),39,0.846,FALSE
2019,7,<4.0,2017,0.016,FALSE
2019,7,4.0-4.2,385,0.094,FALSE
2019,7,4.3-4.9 (provisional),366,0.276,FALSE
2019,7,>=5.0 (auto-exit),106,0.717,FALSE
2019,8,<4.0,1817,0.012,FALSE
2019,8,4.0-4.2,346,0.075,FALSE
2019,8,4.3-4.9 (provisional),424,0.252,FALSE
2019,8,>=5.0 (auto-exit),101,0.584,FALSE
2021,3,<4.0,5241,0.044,FALSE
2021,3,4.0-4.2,984,0.261,FALSE
2021,3,4.3-4.9 (provisional),1365,0.52,FALSE
2021,3,>=5.0 (auto-exit),259,0.776,FALSE
2021,4,<4.0,3006,0.009,FALSE
2021,4,4.0-4.2,1060,0.053,FALSE
2021,4,4.3-4.9 (provisional),2078,0.202,FALSE
2021,4,>=5.0 (auto-exit),1324,0.545,FALSE
2021,5,<4.0,2483,0.006,FALSE
2021,5,4.0-4.2,846,0.022,FALSE
2021,5,4.3-4.9 (provisional),1797,0.098,FALSE
2021,5,>=5.0 (auto-exit),1059,0.331,FALSE
2021,6,<4.0,4073,0.023,FALSE
2021,6,4.0-4.2,615,0.159,FALSE
2021,6,4.3-4.9 (provisional),501,0.301,FALSE
2021,6,>=5.0 (auto-exit),74,0.689,FALSE
2021,7,<4.0,3616,0.015,FALSE
2021,7,4.0-4.2,590,0.103,FALSE
2021,7,4.3-4.9 (provisional),639,0.219,FALSE
2021,7,>=5.0 (auto-exit),143,0.601,FALSE
2021,8,<4.0,2772,0.009,FALSE
2021,8,4.0-4.2,392,0.071,FALSE
2021,8,4.3-4.9 (provisional),518,0.178,FALSE
2021,8,>=5.0 (auto-exit),153,0.529,FALSE
