YEAR,GRADE,WIDA_LEVEL,N,suppress
2017,3,WIDA Level 1,231,FALSE
2017,3,WIDA Level 2,905,FALSE
2017,3,WIDA Level 3,2868,FALSE
2017,3,WIDA Level 4,792,FALSE
2017,3,WIDA Level 4.3,808,FALSE
2017,3,WIDA Level 5,101,FALSE
2017,4,WIDA Level 1,49,FALSE
2017,4,WIDA Level 2,226,FALSE
2017,4,WIDA Level 3,1420,FALSE
2017,4,WIDA Level 4,602,FALSE
2017,4,WIDA Level 4.3,740,FALSE
2017,4,WIDA Level 5,120,FALSE
2017,5,WIDA Level 1,64,FALSE
2017,5,WIDA Level 2,217,FALSE
2017,5,WIDA Level 3,873,FALSE
2017,5,WIDA Level 4,340,FALSE
2017,5,WIDA Level 4.3,461,FALSE
2017,5,WIDA Level 5,82,FALSE
2017,6,WIDA Level 1,96,FALSE
2017,6,WIDA Level 2,457,FALSE
2017,6,WIDA Level 3,966,FALSE
2017,6,WIDA Level 4,193,FALSE
2017,6,WIDA Level 4.3,169,FALSE
2017,6,WIDA Level 5,26,FALSE
2017,7,WIDA Level 1,157,FALSE
2017,7,WIDA Level 2,444,FALSE
2017,7,WIDA Level 3,1115,FALSE
2017,7,WIDA Level 4,382,FALSE
2017,7,WIDA Level 4.3,328,FALSE
2017,7,WIDA Level 5,46,FALSE
2017,8,WIDA Level 1,144,FALSE
2017,8,WIDA Level 2,418,FALSE
2017,8,WIDA Level 3,1013,FALSE
2017,8,WIDA Level 4,397,FALSE
2017,8,WIDA Level 4.3,414,FALSE
2017,8,WIDA Level 5,48,FALSE
2018,3,WIDA Level 1,303,FALSE
2018,3,WIDA Level 2,827,FALSE
2018,3,WIDA Level 3,3341,FALSE
2018,3,WIDA Level 4,1039,FALSE
2018,3,WIDA Level 4.3,1360,FALSE
2018,3,WIDA Level 5,248,FALSE
2018,4,WIDA Level 1,136,FALSE
2018,4,WIDA Level 2,275,FALSE
2018,4,WIDA Level 3,1656,FALSE
2018,4,WIDA Level 4,961,FALSE
2018,4,WIDA Level 4.3,2153,FALSE
2018,4,WIDA Level 5,957,FALSE
2018,4,WIDA Level 6,101,FALSE
2018,5,WIDA Level 1,142,FALSE
2018,5,WIDA Level 2,264,FALSE
2018,5,WIDA Level 3,1143,FALSE
2018,5,WIDA Level 4,549,FALSE
2018,5,WIDA Level 4.3,1081,FALSE
2018,5,WIDA Level 5,447,FALSE
2018,5,WIDA Level 6,39,FALSE
2018,6,WIDA Level 1,201,FALSE
2018,6,WIDA Level 2,486,FALSE
2018,6,WIDA Level 3,1273,FALSE
2018,6,WIDA Level 4,284,FALSE
2018,6,WIDA Level 4.3,282,FALSE
2018,6,WIDA Level 5,40,FALSE
2018,7,WIDA Level 1,226,FALSE
2018,7,WIDA Level 2,479,FALSE
2018,7,WIDA Level 3,1091,FALSE
2018,7,WIDA Level 4,285,FALSE
2018,7,WIDA Level 4.3,300,FALSE
2018,7,WIDA Level 5,57,FALSE
2018,8,WIDA Level 1,221,FALSE
2018,8,WIDA Level 2,430,FALSE
2018,8,WIDA Level 3,1234,FALSE
2018,8,WIDA Level 4,422,FALSE
2018,8,WIDA Level 4.3,473,FALSE
2018,8,WIDA Level 5,78,FALSE
2019,3,WIDA Level 1,440,FALSE
2019,3,WIDA Level 2,839,FALSE
2019,3,WIDA Level 3,3249,FALSE
2019,3,WIDA Level 4,1066,FALSE
2019,3,WIDA Level 4.3,1644,FALSE
2019,3,WIDA Level 5,426,FALSE
2019,4,WIDA Level 1,203,FALSE
2019,4,WIDA Level 2,305,FALSE
2019,4,WIDA Level 3,1727,FALSE
2019,4,WIDA Level 4,1062,FALSE
2019,4,WIDA Level 4.3,2619,FALSE
2019,4,WIDA Level 5,1293,FALSE
2019,4,WIDA Level 6,125,FALSE
2019,5,WIDA Level 1,194,FALSE
2019,5,WIDA Level 2,272,FALSE
2019,5,WIDA Level 3,1282,FALSE
2019,5,WIDA Level 4,859,FALSE
2019,5,WIDA Level 4.3,2063,FALSE
2019,5,WIDA Level 5,915,FALSE
2019,5,WIDA Level 6,57,FALSE
2019,6,WIDA Level 1,310,FALSE
2019,6,WIDA Level 2,592,FALSE
2019,6,WIDA Level 3,1673,FALSE
2019,6,WIDA Level 4,555,FALSE
2019,6,WIDA Level 4.3,420,FALSE
2019,6,WIDA Level 5,36,FALSE
2019,7,WIDA Level 1,324,FALSE
2019,7,WIDA Level 2,547,FALSE
2019,7,WIDA Level 3,1146,FALSE
2019,7,WIDA Level 4,385,FALSE
2019,7,WIDA Level 4.3,366,FALSE
2019,7,WIDA Level 5,101,FALSE
2019,8,WIDA Level 1,333,FALSE
2019,8,WIDA Level 2,469,FALSE
2019,8,WIDA Level 3,1015,FALSE
2019,8,WIDA Level 4,346,FALSE
2019,8,WIDA Level 4.3,424,FALSE
2019,8,WIDA Level 5,95,FALSE
2021,3,WIDA Level 1,621,FALSE
2021,3,WIDA Level 2,1200,FALSE
2021,3,WIDA Level 3,3420,FALSE
2021,3,WIDA Level 4,984,FALSE
2021,3,WIDA Level 4.3,1365,FALSE
2021,3,WIDA Level 5,256,FALSE
2021,4,WIDA Level 1,302,FALSE
2021,4,WIDA Level 2,495,FALSE
2021,4,WIDA Level 3,2209,FALSE
2021,4,WIDA Level 4,1060,FALSE
2021,4,WIDA Level 4.3,2078,FALSE
2021,4,WIDA Level 5,1130,FALSE
2021,4,WIDA Level 6,194,FALSE
2021,5,WIDA Level 1,270,FALSE
2021,5,WIDA Level 2,417,FALSE
2021,5,WIDA Level 3,1796,FALSE
2021,5,WIDA Level 4,846,FALSE
2021,5,WIDA Level 4.3,1797,FALSE
2021,5,WIDA Level 5,956,FALSE
2021,5,WIDA Level 6,103,FALSE
2021,6,WIDA Level 1,272,FALSE
2021,6,WIDA Level 2,842,FALSE
2021,6,WIDA Level 3,2959,FALSE
2021,6,WIDA Level 4,615,FALSE
2021,6,WIDA Level 4.3,501,FALSE
2021,6,WIDA Level 5,72,FALSE
2021,7,WIDA Level 1,352,FALSE
2021,7,WIDA Level 2,788,FALSE
2021,7,WIDA Level 3,2476,FALSE
2021,7,WIDA Level 4,590,FALSE
2021,7,WIDA Level 4.3,639,FALSE
2021,7,WIDA Level 5,134,FALSE
2021,8,WIDA Level 1,380,FALSE
2021,8,WIDA Level 2,690,FALSE
2021,8,WIDA Level 3,1702,FALSE
2021,8,WIDA Level 4,392,FALSE
2021,8,WIDA Level 4.3,518,FALSE
2021,8,WIDA Level 5,141,FALSE
2021,8,WIDA Level 6,12,FALSE
2022,3,WIDA Level 1,789,FALSE
2022,3,WIDA Level 2,1361,FALSE
2022,3,WIDA Level 3,3382,FALSE
2022,3,WIDA Level 4,971,FALSE
2022,3,WIDA Level 4.3,1238,FALSE
2022,3,WIDA Level 5,292,FALSE
2022,3,WIDA Level 6,12,FALSE
2022,4,WIDA Level 1,402,FALSE
2022,4,WIDA Level 2,589,FALSE
2022,4,WIDA Level 3,2186,FALSE
2022,4,WIDA Level 4,1086,FALSE
2022,4,WIDA Level 4.3,2332,FALSE
2022,4,WIDA Level 5,1365,FALSE
2022,4,WIDA Level 6,329,FALSE
2022,5,WIDA Level 1,448,FALSE
2022,5,WIDA Level 2,461,FALSE
2022,5,WIDA Level 3,1800,FALSE
2022,5,WIDA Level 4,919,FALSE
2022,5,WIDA Level 4.3,1908,FALSE
2022,5,WIDA Level 5,1115,FALSE
2022,5,WIDA Level 6,171,FALSE
2022,6,WIDA Level 1,388,FALSE
2022,6,WIDA Level 2,774,FALSE
2022,6,WIDA Level 3,3082,FALSE
2022,6,WIDA Level 4,752,FALSE
2022,6,WIDA Level 4.3,669,FALSE
2022,6,WIDA Level 5,57,FALSE
2022,7,WIDA Level 1,473,FALSE
2022,7,WIDA Level 2,876,FALSE
2022,7,WIDA Level 3,2778,FALSE
2022,7,WIDA Level 4,721,FALSE
2022,7,WIDA Level 4.3,743,FALSE
2022,7,WIDA Level 5,135,FALSE
2022,8,WIDA Level 1,529,FALSE
