YEAR,YEAR_STRATUM,GRADE,N,suppress
2017,istep_contrast,3,5706,FALSE
2017,istep_contrast,4,3166,FALSE
2017,istep_contrast,5,2044,FALSE
2017,istep_contrast,6,1908,FALSE
2017,istep_contrast,7,2476,FALSE
2017,istep_contrast,8,2437,FALSE
2018,istep_contrast,3,7121,FALSE
2018,istep_contrast,4,6239,FALSE
2018,istep_contrast,5,3665,FALSE
2018,istep_contrast,6,2567,FALSE
2018,istep_contrast,7,2442,FALSE
2018,istep_contrast,8,2862,FALSE
2019,ilearn_2019,3,7673,FALSE
2019,ilearn_2019,4,7334,FALSE
2019,ilearn_2019,5,5642,FALSE
2019,ilearn_2019,6,3589,FALSE
2019,ilearn_2019,7,2874,FALSE
2019,ilearn_2019,8,2688,FALSE
2021,primary,3,7849,FALSE
2021,primary,4,7468,FALSE
2021,primary,5,6185,FALSE
2021,primary,6,5263,FALSE
2021,primary,7,4988,FALSE
2021,primary,8,3835,FALSE
2022,primary,3,8045,FALSE
2022,primary,4,8289,FALSE
2022,primary,5,6822,FALSE
2022,primary,6,5725,FALSE
2022,primary,7,5733,FALSE
2022,primary,8,5434,FALSE
2023,primary,3,8714,FALSE
2023,primary,4,8381,FALSE
2023,primary,5,7246,FALSE
2023,primary,6,6143,FALSE
2023,primary,7,6187,FALSE
2023,primary,8,6101,FALSE
2024,primary,3,9074,FALSE
2024,primary,4,9211,FALSE
2024,primary,5,7700,FALSE
2024,primary,6,6921,FALSE
2024,primary,7,6807,FALSE
2024,primary,8,6838,FALSE
2025,primary,3,9821,FALSE
2025,primary,4,9187,FALSE
2025,primary,5,8082,FALSE
2025,primary,6,6919,FALSE
2025,primary,7,7419,FALSE
2025,primary,8,7164,FALSE
2026,ilearn_2026,3,10088,FALSE
2026,ilearn_2026,4,8515,FALSE
2026,ilearn_2026,5,7421,FALSE
2026,ilearn_2026,6,6660,FALSE
2026,ilearn_2026,7,6850,FALSE
2026,ilearn_2026,8,7115,FALSE
