YEAR,GRADE,n_ilearn,n_wida,n_paired,wida_pair_rate
2016,3,85400,,0,
2016,4,82977,,0,
2016,5,81923,,0,
2016,6,82981,,0,
2016,7,80859,,0,
2016,8,82085,,0,
2017,3,85176,6115,5706,0.933
2017,4,84224,3493,3166,0.906
2017,5,83418,2342,2044,0.873
2017,6,81943,2219,1908,0.86
2017,7,82813,2737,2476,0.905
2017,8,80754,2751,2437,0.886
2018,3,83500,7264,7121,0.98
2018,4,85237,6338,6239,0.984
2018,5,85171,3751,3665,0.977
2018,6,83810,2642,2567,0.972
2018,7,82277,2517,2442,0.97
2018,8,82992,2951,2862,0.97
2019,3,83072,7760,7673,0.989
2019,4,84147,7400,7334,0.991
2019,5,86381,5700,5642,0.99
2019,6,85832,3657,3589,0.981
2019,7,84590,2940,2874,0.978
2019,8,82991,2750,2688,0.977
2020,3,,7965,0,0
2020,4,,7817,0,0
2020,5,,6571,0,0
2020,6,,5158,0,0
2020,7,,3985,0,0
2020,8,,3205,0,0
2021,3,79376,7982,7849,0.983
2021,4,78964,7615,7468,0.981
2021,5,80278,6304,6185,0.981
2021,6,81590,5382,5263,0.978
2021,7,83006,5170,4988,0.965
2021,8,82601,3994,3835,0.96
2022,3,79912,8144,8045,0.988
2022,4,81000,8373,8289,0.99
2022,5,81100,6908,6822,0.988
2022,6,82179,5805,5725,0.986
2022,7,83344,5842,5733,0.981
2022,8,84989,5548,5434,0.979
2023,3,82145,8812,8714,0.989
2023,4,80453,8495,8381,0.987
2023,5,81840,7332,7246,0.988
2023,6,81611,6253,6143,0.982
2023,7,82341,6311,6187,0.98
2023,8,83571,6236,6101,0.978
2024,3,81779,9206,9074,0.986
2024,4,82893,9307,9211,0.99
2024,5,81242,7803,7700,0.987
2024,6,82558,7019,6921,0.986
2024,7,82151,6942,6807,0.981
2024,8,83001,6958,6838,0.983
2025,3,84260,9980,9821,0.984
2025,4,82139,9321,9187,0.986
2025,5,83393,8214,8082,0.984
2025,6,81789,7048,6919,0.982
2025,7,82843,7561,7419,0.981
2025,8,82447,7316,7164,0.979
2026,3,83739,10235,10088,0.986
2026,4,81274,8629,8515,0.987
2026,5,82124,7534,7421,0.985
2026,6,83208,6739,6660,0.988
2026,7,81558,6976,6850,0.982
2026,8,82741,7252,7115,0.981
